ProductID;L=3;V_3;E_3;L=4;V_4;E_4;
1;L=3;10;7;L=4;7;3;
2;L=3;13;9;L=4;9;5;
3;L=3;17;14;L=4;14;12;
4;L=3;20;18;L=4;18;15;
5;L=3;12;10;L=4;10;6;
6;L=3;13;11;L=4;11;6;
7;L=3;16;13;L=4;13;8;
8;L=3;17;13;L=4;13;8;
9;L=3;11;7;L=4;7;3;
10;L=3;14;9;L=4;9;5;
11;L=3;13;10;L=4;10;6;
12;L=3;14;11;L=4;11;6;
13;L=3;14;10;L=4;10;6;
14;L=3;10;6;L=4;6;3;
15;L=3;11;7;L=4;7;3;
16;L=3;14;9;L=4;9;5;
17;L=3;18;14;L=4;14;12;
18;L=3;21;18;L=4;18;15;
19;L=3;13;10;L=4;10;6;
20;L=3;14;11;L=4;11;6;
21;L=3;17;13;L=4;13;8;
22;L=3;18;13;L=4;13;8;
23;L=3;11;6;L=4;6;3;
24;L=3;12;7;L=4;7;3;
25;L=3;15;9;L=4;9;5;
26;L=3;15;11;L=4;11;6;
27;L=3;16;11;L=4;11;6;
28;L=3;12;7;L=4;7;3;
29;L=3;13;8;L=4;8;3;
30;L=3;16;10;L=4;10;5;
31;L=3;20;15;L=4;15;12;
32;L=3;23;19;L=4;19;15;
33;L=3;15;11;L=4;11;6;
34;L=3;16;12;L=4;12;6;
35;L=3;19;14;L=4;14;8;
36;L=3;20;14;L=4;14;8;
37;L=3;13;7;L=4;7;3;
38;L=3;14;8;L=4;8;3;
39;L=3;17;10;L=4;10;5;
40;L=3;17;12;L=4;12;6;
41;L=3;16;11;L=4;11;6;
42;L=3;10;7;L=4;7;3;
43;L=3;13;9;L=4;9;5;
44;L=3;17;14;L=4;14;12;
45;L=3;20;18;L=4;18;15;
46;L=3;12;10;L=4;10;6;
47;L=3;13;11;L=4;11;6;
48;L=3;16;13;L=4;13;8;
49;L=3;17;13;L=4;13;8;
50;L=3;11;7;L=4;7;3;
51;L=3;14;9;L=4;9;5;
52;L=3;13;10;L=4;10;6;
53;L=3;14;11;L=4;11;6;
54;L=3;14;10;L=4;10;6;
55;L=3;10;6;L=4;6;3;
56;L=3;11;7;L=4;7;3;
57;L=3;14;9;L=4;9;5;
58;L=3;18;14;L=4;14;12;
59;L=3;21;18;L=4;18;15;
60;L=3;13;10;L=4;10;6;
61;L=3;14;11;L=4;11;6;
62;L=3;17;13;L=4;13;8;
63;L=3;18;13;L=4;13;8;
64;L=3;11;6;L=4;6;3;
65;L=3;12;7;L=4;7;3;
66;L=3;15;9;L=4;9;5;
67;L=3;15;11;L=4;11;6;
68;L=3;17;12;L=4;12;6;
69;L=3;12;7;L=4;7;3;
70;L=3;13;8;L=4;8;3;
71;L=3;16;10;L=4;10;5;
72;L=3;20;15;L=4;15;12;
73;L=3;23;19;L=4;19;15;
74;L=3;15;11;L=4;11;6;
75;L=3;16;12;L=4;12;6;
76;L=3;19;14;L=4;14;8;
77;L=3;20;14;L=4;14;8;
78;L=3;13;7;L=4;7;3;
79;L=3;14;8;L=4;8;3;
80;L=3;17;10;L=4;10;5;
81;L=3;16;11;L=4;11;6;
82;L=3;10;7;L=4;7;3;
83;L=3;13;9;L=4;9;5;
84;L=3;17;14;L=4;14;12;
85;L=3;20;18;L=4;18;15;
86;L=3;12;10;L=4;10;6;
87;L=3;13;11;L=4;11;6;
88;L=3;16;13;L=4;13;8;
89;L=3;17;13;L=4;13;8;
90;L=3;11;7;L=4;7;3;
91;L=3;14;9;L=4;9;5;
92;L=3;13;10;L=4;10;6;
93;L=3;14;11;L=4;11;6;
94;L=3;14;10;L=4;10;6;
95;L=3;10;6;L=4;6;3;
96;L=3;11;7;L=4;7;3;
97;L=3;14;9;L=4;9;5;
98;L=3;18;14;L=4;14;12;
99;L=3;21;18;L=4;18;15;
100;L=3;13;10;L=4;10;6;
101;L=3;14;11;L=4;11;6;
102;L=3;17;13;L=4;13;8;
103;L=3;18;13;L=4;13;8;
104;L=3;11;6;L=4;6;3;
105;L=3;12;7;L=4;7;3;
106;L=3;15;9;L=4;9;5;
107;L=3;15;11;L=4;11;6;
108;L=3;17;12;L=4;12;6;
109;L=3;12;7;L=4;7;3;
110;L=3;13;8;L=4;8;3;
111;L=3;16;10;L=4;10;5;
112;L=3;20;15;L=4;15;12;
113;L=3;23;19;L=4;19;15;
114;L=3;15;11;L=4;11;6;
115;L=3;16;12;L=4;12;6;
116;L=3;19;14;L=4;14;8;
117;L=3;20;14;L=4;14;8;
118;L=3;13;7;L=4;7;3;
119;L=3;14;8;L=4;8;3;
120;L=3;17;10;L=4;10;5;
121;L=3;20;13;L=4;13;6;
122;L=3;13;8;L=4;8;3;
123;L=3;14;9;L=4;9;3;
124;L=3;17;11;L=4;11;5;
125;L=3;21;16;L=4;16;12;
126;L=3;24;20;L=4;20;15;
127;L=3;16;12;L=4;12;6;
128;L=3;17;13;L=4;13;6;
129;L=3;20;15;L=4;15;8;
130;L=3;21;15;L=4;15;8;
131;L=3;14;8;L=4;8;3;
