Mutation Operator;Product ID;Number of Valid Mutants;Number of Invalid Mutants;Number of Detected Valid Mutants;Number of Detected Invalid Mutants;Total Number of Mutants;Total Number of Detected Faults
Feature Inserter;1;1;0;1;0;1;1
Feature Inserter;2;1;0;1;0;1;1
Feature Inserter;3;1;0;1;0;1;1
Feature Inserter;4;1;0;1;0;1;1
Feature Inserter;5;1;0;1;0;1;1
Feature Inserter;6;1;0;1;0;1;1
Feature Inserter;7;1;0;1;0;1;1
Feature Inserter;8;1;0;1;0;1;1
Feature Inserter;9;1;0;1;0;1;1
Feature Inserter;10;1;0;1;0;1;1
Feature Inserter;11;1;0;1;0;1;1
Feature Inserter;12;1;0;1;0;1;1
Feature Inserter;13;1;0;1;0;1;1
Feature Inserter;14;1;0;1;0;1;1
Feature Inserter;15;1;0;1;0;1;1
Feature Inserter;16;1;0;1;0;1;1
Feature Inserter;17;1;0;1;0;1;1
Feature Inserter;18;1;0;1;0;1;1
Feature Inserter;19;1;0;1;0;1;1
Feature Inserter;20;1;0;1;0;1;1
Feature Inserter;21;1;0;1;0;1;1
Feature Inserter;22;1;0;1;0;1;1
Feature Inserter;23;1;0;1;0;1;1
Feature Inserter;24;1;0;1;0;1;1
Feature Inserter;25;1;0;1;0;1;1
Feature Inserter;26;1;0;1;0;1;1
Feature Inserter;27;1;0;1;0;1;1
Feature Inserter;28;1;0;1;0;1;1
Feature Inserter;29;1;0;1;0;1;1
Feature Inserter;30;1;0;1;0;1;1
Feature Inserter;31;1;0;1;0;1;1
Feature Inserter;32;1;0;1;0;1;1
Feature Inserter;33;1;0;1;0;1;1
Feature Inserter;34;1;0;1;0;1;1
Feature Inserter;35;1;0;1;0;1;1
Feature Inserter;36;1;0;1;0;1;1
Feature Inserter;37;1;0;1;0;1;1
Feature Inserter;38;1;0;1;0;1;1
Feature Inserter;39;1;0;1;0;1;1
Feature Inserter;40;1;0;1;0;1;1
Feature Inserter;41;1;0;1;0;1;1
Feature Inserter;42;1;0;1;0;1;1
Feature Inserter;43;1;0;1;0;1;1
Feature Inserter;44;1;0;1;0;1;1
Feature Inserter;45;1;0;1;0;1;1
Feature Inserter;46;1;0;1;0;1;1
Feature Inserter;47;1;0;1;0;1;1
Feature Inserter;48;1;0;1;0;1;1
Feature Inserter;49;1;0;1;0;1;1
Feature Inserter;50;1;0;1;0;1;1
Feature Inserter;51;1;0;1;0;1;1
Feature Inserter;52;1;0;1;0;1;1
Feature Inserter;53;1;0;1;0;1;1
Feature Inserter;54;1;0;1;0;1;1
Feature Inserter;55;1;0;1;0;1;1
Feature Inserter;56;1;0;1;0;1;1
Feature Inserter;57;1;0;1;0;1;1
Feature Inserter;58;1;0;1;0;1;1
Feature Inserter;59;1;0;1;0;1;1
Feature Inserter;60;1;0;1;0;1;1
Feature Inserter;61;1;0;1;0;1;1
Feature Inserter;62;1;0;1;0;1;1
Feature Inserter;63;1;0;1;0;1;1
Feature Inserter;64;1;0;1;0;1;1
Feature Inserter;65;1;0;1;0;1;1
Feature Inserter;66;1;0;1;0;1;1
Feature Inserter;67;1;0;1;0;1;1
Feature Inserter;68;1;0;1;0;1;1
Feature Inserter;69;1;0;1;0;1;1
Feature Inserter;70;1;0;1;0;1;1
Feature Inserter;71;1;0;1;0;1;1
Feature Inserter;72;1;0;1;0;1;1
Feature Inserter;73;1;0;1;0;1;1
Feature Inserter;74;1;0;1;0;1;1
Feature Inserter;75;1;0;1;0;1;1
Feature Inserter;76;1;0;1;0;1;1
Feature Inserter;77;1;0;1;0;1;1
Feature Inserter;78;1;0;1;0;1;1
Feature Inserter;79;1;0;1;0;1;1
Feature Inserter;80;1;0;1;0;1;1
Feature Inserter;81;1;0;1;0;1;1
Feature Inserter;82;1;0;1;0;1;1
Feature Inserter;83;1;0;1;0;1;1
Feature Inserter;84;1;0;1;0;1;1
Feature Inserter;85;1;0;1;0;1;1
Feature Inserter;86;1;0;1;0;1;1
Feature Inserter;87;1;0;1;0;1;1
Feature Inserter;88;1;0;1;0;1;1
Feature Inserter;89;1;0;1;0;1;1
Feature Inserter;90;1;0;1;0;1;1
Feature Inserter;91;1;0;1;0;1;1
Feature Inserter;92;1;0;1;0;1;1
Feature Inserter;93;1;0;1;0;1;1
Feature Inserter;94;1;0;1;0;1;1
Feature Inserter;95;1;0;1;0;1;1
Feature Inserter;96;1;0;1;0;1;1
Feature Inserter;97;1;0;1;0;1;1
Feature Inserter;98;1;0;1;0;1;1
Feature Inserter;99;1;0;1;0;1;1
Feature Inserter;100;1;0;1;0;1;1
Feature Inserter;101;1;0;1;0;1;1
Feature Inserter;102;1;0;1;0;1;1
Feature Inserter;103;1;0;1;0;1;1
Feature Inserter;104;1;0;1;0;1;1
Feature Inserter;105;1;0;1;0;1;1
Feature Inserter;106;1;0;1;0;1;1
Feature Inserter;107;1;0;1;0;1;1
Feature Inserter;108;1;0;1;0;1;1
Feature Inserter;109;1;0;1;0;1;1
Feature Inserter;110;1;0;1;0;1;1
Feature Inserter;111;1;0;1;0;1;1
Feature Inserter;112;1;0;1;0;1;1
Feature Inserter;113;1;0;1;0;1;1
Feature Inserter;114;1;0;1;0;1;1
Feature Inserter;115;1;0;1;0;1;1
Feature Inserter;116;1;0;1;0;1;1
Feature Inserter;117;1;0;1;0;1;1
Feature Inserter;118;1;0;1;0;1;1
Feature Inserter;119;1;0;1;0;1;1
Feature Inserter;120;1;0;1;0;1;1
Feature Inserter;121;1;0;1;0;1;1
Feature Inserter;122;1;0;1;0;1;1
Feature Inserter;123;1;0;1;0;1;1
Feature Inserter;124;1;0;1;0;1;1
Feature Inserter;125;1;0;1;0;1;1
Feature Inserter;126;1;0;1;0;1;1
Feature Inserter;127;1;0;1;0;1;1
Feature Inserter;128;1;0;1;0;1;1
Feature Inserter;129;1;0;1;0;1;1
Feature Inserter;130;1;0;1;0;1;1
Feature Inserter;131;1;0;1;0;1;1
Feature Inserter;132;1;0;1;0;1;1
Feature Inserter;133;1;0;1;0;1;1
Feature Inserter;134;1;0;1;0;1;1
Feature Inserter;135;1;0;1;0;1;1
Feature Inserter;136;1;0;1;0;1;1
Feature Inserter;137;1;0;1;0;1;1
Feature Inserter;138;1;0;1;0;1;1
Feature Inserter;139;1;0;1;0;1;1
Feature Inserter;140;1;0;1;0;1;1
Feature Inserter;141;1;0;1;0;1;1
Feature Inserter;142;1;0;1;0;1;1
Feature Inserter;143;1;0;1;0;1;1
Feature Inserter;144;1;0;1;0;1;1
Feature Inserter;145;1;0;1;0;1;1
Feature Inserter;146;1;0;1;0;1;1
Feature Inserter;147;1;0;1;0;1;1
Feature Inserter;148;1;0;1;0;1;1
Feature Inserter;149;1;0;1;0;1;1
Feature Inserter;150;1;0;1;0;1;1
Feature Inserter;151;1;0;1;0;1;1
Feature Inserter;152;1;0;1;0;1;1
Feature Inserter;153;1;0;1;0;1;1
Feature Inserter;154;1;0;1;0;1;1
Feature Inserter;155;1;0;1;0;1;1
Feature Inserter;156;1;0;1;0;1;1
Feature Inserter;157;1;0;1;0;1;1
Feature Inserter;158;1;0;1;0;1;1
Feature Inserter;159;1;0;1;0;1;1
Feature Inserter;160;1;0;1;0;1;1
Feature Inserter;161;1;0;1;0;1;1
Feature Inserter;162;1;0;1;0;1;1
Feature Inserter;163;1;0;1;0;1;1
Feature Inserter;164;1;0;1;0;1;1
Feature Inserter;165;1;0;1;0;1;1
Feature Inserter;166;1;0;1;0;1;1
Feature Inserter;167;1;0;1;0;1;1
Feature Inserter;168;1;0;1;0;1;1
Feature Inserter;169;1;0;1;0;1;1
Feature Inserter;170;1;0;1;0;1;1
Feature Inserter;171;1;0;1;0;1;1
Feature Inserter;172;1;0;1;0;1;1
Feature Inserter;173;1;0;1;0;1;1
Feature Inserter;174;1;0;1;0;1;1
Feature Inserter;175;1;0;1;0;1;1
Feature Inserter;176;1;0;1;0;1;1
Feature Inserter;177;1;0;1;0;1;1
Feature Inserter;178;1;0;1;0;1;1
Feature Inserter;179;1;0;1;0;1;1
Feature Inserter;180;1;0;1;0;1;1
Feature Inserter;181;1;0;1;0;1;1
Feature Inserter;182;1;0;1;0;1;1
Feature Inserter;183;1;0;1;0;1;1
Feature Inserter;184;1;0;1;0;1;1
Feature Inserter;185;1;0;1;0;1;1
Feature Inserter;186;1;0;1;0;1;1
Feature Inserter;187;1;0;1;0;1;1
Feature Inserter;188;1;0;1;0;1;1
Feature Inserter;189;1;0;1;0;1;1
Feature Inserter;190;1;0;1;0;1;1
Feature Inserter;191;1;0;1;0;1;1
Feature Inserter;192;1;0;1;0;1;1
Feature Inserter;193;1;0;1;0;1;1
Feature Inserter;194;1;0;1;0;1;1
Feature Inserter;195;1;0;1;0;1;1
Feature Inserter;196;1;0;1;0;1;1
Feature Inserter;197;1;0;1;0;1;1
Feature Inserter;198;1;0;1;0;1;1
Feature Inserter;199;1;0;1;0;1;1
Feature Inserter;200;1;0;1;0;1;1
Feature Inserter;201;1;0;1;0;1;1
Feature Inserter;202;1;0;1;0;1;1
Feature Inserter;203;1;0;1;0;1;1
Feature Inserter;204;1;0;1;0;1;1
Feature Inserter;205;1;0;1;0;1;1
Feature Inserter;206;1;0;1;0;1;1
Feature Inserter;207;1;0;1;0;1;1
Feature Inserter;208;1;0;1;0;1;1
Feature Inserter;209;1;0;1;0;1;1
Feature Inserter;210;1;0;1;0;1;1
Feature Inserter;211;1;0;1;0;1;1
Feature Inserter;212;1;0;1;0;1;1
Feature Inserter;213;1;0;1;0;1;1
Feature Inserter;214;1;0;1;0;1;1
Feature Inserter;215;1;0;1;0;1;1
Feature Inserter;216;1;0;1;0;1;1
Feature Inserter;217;1;0;1;0;1;1
Feature Inserter;218;1;0;1;0;1;1
Feature Inserter;219;1;0;1;0;1;1
Feature Inserter;220;1;0;1;0;1;1
Feature Inserter;221;1;0;1;0;1;1
Feature Inserter;222;1;0;1;0;1;1
Feature Inserter;223;1;0;1;0;1;1
Feature Inserter;224;1;0;1;0;1;1
Feature Inserter;225;1;0;1;0;1;1
Feature Inserter;226;1;0;1;0;1;1
Feature Inserter;227;1;0;1;0;1;1
Feature Inserter;228;1;0;1;0;1;1
Feature Inserter;229;1;0;1;0;1;1
Feature Inserter;230;1;0;1;0;1;1
Feature Inserter;231;1;0;1;0;1;1
Feature Inserter;232;1;0;1;0;1;1
Feature Inserter;233;1;0;1;0;1;1
Feature Inserter;234;1;0;1;0;1;1
Feature Inserter;235;1;0;1;0;1;1
Feature Inserter;236;1;0;1;0;1;1
Feature Inserter;237;1;0;1;0;1;1
Feature Inserter;238;1;0;1;0;1;1
Feature Inserter;239;1;0;1;0;1;1
Feature Inserter;240;1;0;1;0;1;1
Feature Inserter;241;1;0;1;0;1;1
Feature Inserter;242;1;0;1;0;1;1
Feature Inserter;243;1;0;1;0;1;1
Feature Inserter;244;1;0;1;0;1;1
Feature Inserter;245;1;0;1;0;1;1
Feature Inserter;246;1;0;1;0;1;1
Feature Inserter;247;1;0;1;0;1;1
Feature Inserter;248;1;0;1;0;1;1
Feature Inserter;249;1;0;1;0;1;1
Feature Inserter;250;1;0;1;0;1;1
Feature Inserter;251;1;0;1;0;1;1
Feature Inserter;252;1;0;1;0;1;1
Feature Inserter;253;1;0;1;0;1;1
Feature Inserter;254;1;0;1;0;1;1
Feature Inserter;255;1;0;1;0;1;1
Feature Inserter;256;1;0;1;0;1;1
Feature Inserter;257;1;0;1;0;1;1
Feature Inserter;258;1;0;1;0;1;1
Feature Inserter;259;1;0;1;0;1;1
Feature Inserter;260;1;0;1;0;1;1
Feature Inserter;261;1;0;1;0;1;1
Feature Inserter;262;1;0;1;0;1;1
Feature Inserter;263;1;0;1;0;1;1
Feature Inserter;264;1;0;1;0;1;1
Feature Inserter;265;1;0;1;0;1;1
Feature Inserter;266;1;0;1;0;1;1
Feature Inserter;267;1;0;1;0;1;1
Feature Inserter;268;1;0;1;0;1;1
Feature Inserter;269;1;0;1;0;1;1
Feature Inserter;270;1;0;1;0;1;1
Feature Inserter;271;1;0;1;0;1;1
Feature Inserter;272;1;0;1;0;1;1
Feature Inserter;273;1;0;1;0;1;1
Feature Inserter;274;1;0;1;0;1;1
Feature Inserter;275;1;0;1;0;1;1
Feature Inserter;276;1;0;1;0;1;1
Feature Inserter;277;1;0;1;0;1;1
Feature Inserter;278;1;0;1;0;1;1
Feature Inserter;279;1;0;1;0;1;1
Feature Inserter;280;1;0;1;0;1;1
Feature Inserter;281;1;0;1;0;1;1
Feature Inserter;282;1;0;1;0;1;1
Feature Inserter;283;1;0;1;0;1;1
Feature Inserter;284;1;0;1;0;1;1
Feature Inserter;285;1;0;1;0;1;1
Feature Inserter;286;1;0;1;0;1;1
Feature Inserter;287;1;0;1;0;1;1
Feature Inserter;288;1;0;1;0;1;1
Feature Inserter;289;1;0;1;0;1;1
Feature Inserter;290;1;0;1;0;1;1
Feature Inserter;291;1;0;1;0;1;1
Feature Inserter;292;1;0;1;0;1;1
Feature Inserter;293;1;0;1;0;1;1
Feature Inserter;294;1;0;1;0;1;1
Feature Inserter;295;1;0;1;0;1;1
Feature Inserter;296;1;0;1;0;1;1
Feature Inserter;297;1;0;1;0;1;1
Feature Inserter;298;1;0;1;0;1;1
Feature Inserter;299;1;0;1;0;1;1
Feature Inserter;300;1;0;1;0;1;1
Feature Inserter;301;1;0;1;0;1;1
Feature Inserter;302;1;0;1;0;1;1
Feature Inserter;303;1;0;1;0;1;1
Feature Inserter;304;1;0;1;0;1;1
Feature Inserter;305;1;0;1;0;1;1
Feature Inserter;306;1;0;1;0;1;1
Feature Inserter;307;1;0;1;0;1;1
Feature Inserter;308;1;0;1;0;1;1
Feature Inserter;309;1;0;1;0;1;1
Feature Inserter;310;1;0;1;0;1;1
Feature Inserter;311;1;0;1;0;1;1
Feature Inserter;312;1;0;1;0;1;1
Feature Inserter;313;1;0;1;0;1;1
Feature Inserter;314;1;0;1;0;1;1
Feature Inserter;315;1;0;1;0;1;1
Feature Inserter;316;1;0;1;0;1;1
Feature Inserter;317;1;0;1;0;1;1
Feature Inserter;318;1;0;1;0;1;1
Feature Inserter;319;1;0;1;0;1;1
Feature Inserter;320;1;0;1;0;1;1
Feature Inserter;321;1;0;1;0;1;1
Feature Inserter;322;1;0;1;0;1;1
Feature Inserter;323;1;0;1;0;1;1
Feature Inserter;324;1;0;1;0;1;1
Feature Inserter;325;1;0;1;0;1;1
Feature Inserter;326;1;0;1;0;1;1
Feature Inserter;327;1;0;1;0;1;1
Feature Inserter;328;1;0;1;0;1;1
Feature Inserter;329;1;0;1;0;1;1
Feature Inserter;330;1;0;1;0;1;1
Feature Inserter;331;1;0;1;0;1;1
Feature Inserter;332;1;0;1;0;1;1
Feature Inserter;333;1;0;1;0;1;1
Feature Inserter;334;1;0;1;0;1;1
Feature Inserter;335;1;0;1;0;1;1
Feature Inserter;336;1;0;1;0;1;1
Feature Inserter;337;1;0;1;0;1;1
Feature Inserter;338;1;0;1;0;1;1
Feature Inserter;339;1;0;1;0;1;1
Feature Inserter;340;1;0;1;0;1;1
Feature Inserter;341;1;0;1;0;1;1
Feature Inserter;342;1;0;1;0;1;1
Feature Inserter;343;1;0;1;0;1;1
Feature Inserter;344;1;0;1;0;1;1
Feature Inserter;345;1;0;1;0;1;1
Feature Inserter;346;1;0;1;0;1;1
Feature Inserter;347;1;0;1;0;1;1
Feature Inserter;348;1;0;1;0;1;1
Feature Inserter;349;1;0;1;0;1;1
Feature Inserter;350;1;0;1;0;1;1
Feature Inserter;351;1;0;1;0;1;1
