"Product ID";"Features";"Mutation Operator";"Mutation Element";"Mutant ID";"Is Mutant Valid?";"Is Fault Detected L=2?";"Is Fault Detected L=3?";"Is Fault Detected L=4?"
1;"P000001: <b, d, w, cw, tl>:5 features";"Event Omitter";"get balance/b";1;"false";"TRUE";"TRUE";"TRUE"
1;"P000001: <b, d, w, cw, tl>:5 features";"Event Omitter";"select deposit/d";2;"false";"TRUE";"TRUE";"TRUE"
1;"P000001: <b, d, w, cw, tl>:5 features";"Event Omitter";"put money/d";3;"false";"TRUE";"TRUE";"TRUE"
1;"P000001: <b, d, w, cw, tl>:5 features";"Event Omitter";"enter deposit amount/d";4;"false";"TRUE";"TRUE";"TRUE"
1;"P000001: <b, d, w, cw, tl>:5 features";"Event Omitter";"select withdraw/w";5;"false";"TRUE";"TRUE";"TRUE"
1;"P000001: <b, d, w, cw, tl>:5 features";"Event Omitter";"take money/w";6;"false";"TRUE";"TRUE";"TRUE"
1;"P000001: <b, d, w, cw, tl>:5 features";"Event Omitter";"enter withdraw amount/w";7;"false";"TRUE";"TRUE";"TRUE"
1;"P000001: <b, d, w, cw, tl>:5 features";"Event Omitter";"cancel withdraw/cw";8;"true";"TRUE";"TRUE";"TRUE"
1;"P000001: <b, d, w, cw, tl>:5 features";"Event Omitter";"open account/b";9;"false";"TRUE";"TRUE";"TRUE"
1;"P000001: <b, d, w, cw, tl>:5 features";"Event Omitter";"select currency/b";10;"false";"TRUE";"TRUE";"TRUE"
1;"P000001: <b, d, w, cw, tl>:5 features";"Event Omitter";"TL/tl";11;"false";"TRUE";"TRUE";"TRUE"
1;"P000001: <b, d, w, cw, tl>:5 features";"Event Omitter";"confirm TL account openning/tl";12;"false";"TRUE";"TRUE";"TRUE"
2;"P000002: <b, d, w, cw, dl, tl>:6 features";"Event Omitter";"get balance/b";1;"false";"TRUE";"TRUE";"TRUE"
2;"P000002: <b, d, w, cw, dl, tl>:6 features";"Event Omitter";"select deposit/d";2;"false";"TRUE";"TRUE";"TRUE"
2;"P000002: <b, d, w, cw, dl, tl>:6 features";"Event Omitter";"put money/d";3;"false";"TRUE";"TRUE";"TRUE"
2;"P000002: <b, d, w, cw, dl, tl>:6 features";"Event Omitter";"enter deposit amount/d";4;"false";"TRUE";"TRUE";"TRUE"
2;"P000002: <b, d, w, cw, dl, tl>:6 features";"Event Omitter";"select withdraw/w";5;"false";"TRUE";"TRUE";"TRUE"
2;"P000002: <b, d, w, cw, dl, tl>:6 features";"Event Omitter";"take money/w";6;"true";"TRUE";"TRUE";"TRUE"
2;"P000002: <b, d, w, cw, dl, tl>:6 features";"Event Omitter";"enter withdraw amount/w";7;"false";"TRUE";"TRUE";"TRUE"
2;"P000002: <b, d, w, cw, dl, tl>:6 features";"Event Omitter";"cancel withdraw/cw";8;"false";"TRUE";"TRUE";"TRUE"
2;"P000002: <b, d, w, cw, dl, tl>:6 features";"Event Omitter";"confirm daily limit excess/dl";9;"true";"TRUE";"TRUE";"TRUE"
2;"P000002: <b, d, w, cw, dl, tl>:6 features";"Event Omitter";"enter daily withdraw limit/dl";10;"false";"TRUE";"TRUE";"FALSE"
2;"P000002: <b, d, w, cw, dl, tl>:6 features";"Event Omitter";"open account/b";11;"false";"TRUE";"TRUE";"TRUE"
2;"P000002: <b, d, w, cw, dl, tl>:6 features";"Event Omitter";"select currency/b";12;"false";"TRUE";"TRUE";"TRUE"
2;"P000002: <b, d, w, cw, dl, tl>:6 features";"Event Omitter";"TL/tl";13;"false";"TRUE";"TRUE";"TRUE"
2;"P000002: <b, d, w, cw, dl, tl>:6 features";"Event Omitter";"confirm daily withdraw limit/dl";14;"false";"TRUE";"TRUE";"FALSE"
2;"P000002: <b, d, w, cw, dl, tl>:6 features";"Event Omitter";"confirm TL account openning/tl";15;"false";"TRUE";"TRUE";"TRUE"
3;"P000003: <b, d, w, cw, dl, o, tl>:7 features";"Event Omitter";"get balance/b";1;"false";"TRUE";"TRUE";"TRUE"
3;"P000003: <b, d, w, cw, dl, o, tl>:7 features";"Event Omitter";"select deposit/d";2;"false";"TRUE";"TRUE";"TRUE"
3;"P000003: <b, d, w, cw, dl, o, tl>:7 features";"Event Omitter";"put money/d";3;"false";"TRUE";"TRUE";"TRUE"
3;"P000003: <b, d, w, cw, dl, o, tl>:7 features";"Event Omitter";"enter deposit amount/d";4;"false";"TRUE";"TRUE";"TRUE"
3;"P000003: <b, d, w, cw, dl, o, tl>:7 features";"Event Omitter";"select withdraw/w";5;"false";"TRUE";"TRUE";"TRUE"
3;"P000003: <b, d, w, cw, dl, o, tl>:7 features";"Event Omitter";"take money/w";6;"true";"TRUE";"TRUE";"TRUE"
3;"P000003: <b, d, w, cw, dl, o, tl>:7 features";"Event Omitter";"enter withdraw amount/w";7;"false";"TRUE";"TRUE";"TRUE"
3;"P000003: <b, d, w, cw, dl, o, tl>:7 features";"Event Omitter";"cancel withdraw/cw";8;"true";"TRUE";"TRUE";"TRUE"
3;"P000003: <b, d, w, cw, dl, o, tl>:7 features";"Event Omitter";"confirm daily limit excess/dl";9;"false";"TRUE";"TRUE";"TRUE"
3;"P000003: <b, d, w, cw, dl, o, tl>:7 features";"Event Omitter";"enter daily withdraw limit/dl";10;"false";"TRUE";"TRUE";"FALSE"
3;"P000003: <b, d, w, cw, dl, o, tl>:7 features";"Event Omitter";"confirm overdraft limit excess/o";11;"true";"TRUE";"TRUE";"TRUE"
3;"P000003: <b, d, w, cw, dl, o, tl>:7 features";"Event Omitter";"enter overdraft limit/o";12;"false";"TRUE";"TRUE";"FALSE"
3;"P000003: <b, d, w, cw, dl, o, tl>:7 features";"Event Omitter";"open account/b";13;"false";"TRUE";"TRUE";"TRUE"
3;"P000003: <b, d, w, cw, dl, o, tl>:7 features";"Event Omitter";"select currency/b";14;"false";"TRUE";"TRUE";"TRUE"
3;"P000003: <b, d, w, cw, dl, o, tl>:7 features";"Event Omitter";"TL/tl";15;"false";"TRUE";"TRUE";"TRUE"
