ProductID;L=3;V_3;E_3;L=4;V_4;E_4;
1;L=3;20;25;L=4;25;12;
2;L=3;20;25;L=4;25;12;
3;L=3;23;38;L=4;38;24;
4;L=3;20;25;L=4;25;12;
5;L=3;20;25;L=4;25;12;
6;L=3;23;38;L=4;38;24;
7;L=3;28;59;L=4;59;70;
8;L=3;28;59;L=4;59;70;
9;L=3;28;59;L=4;59;70;
10;L=3;31;72;L=4;72;82;
11;L=3;31;72;L=4;72;82;
12;L=3;28;59;L=4;59;70;
13;L=3;32;68;L=4;68;86;
14;L=3;22;30;L=4;30;16;
15;L=3;22;30;L=4;30;16;
16;L=3;26;44;L=4;44;32;
17;L=3;22;30;L=4;30;16;
18;L=3;22;30;L=4;30;16;
19;L=3;26;44;L=4;44;32;
20;L=3;36;82;L=4;82;102;
21;L=3;32;68;L=4;68;86;
22;L=3;32;68;L=4;68;86;
23;L=3;36;82;L=4;82;102;
24;L=3;32;68;L=4;68;86;
25;L=3;32;68;L=4;68;86;
26;L=3;20;25;L=4;25;12;
27;L=3;20;25;L=4;25;12;
28;L=3;23;38;L=4;38;24;
29;L=3;28;59;L=4;59;70;
30;L=3;28;59;L=4;59;70;
31;L=3;31;72;L=4;72;82;
32;L=3;32;68;L=4;68;86;
33;L=3;22;30;L=4;30;16;
34;L=3;22;30;L=4;30;16;
35;L=3;26;44;L=4;44;32;
36;L=3;36;82;L=4;82;102;
37;L=3;33;76;L=4;76;86;
38;L=3;25;48;L=4;48;58;
39;L=3;25;48;L=4;48;58;
40;L=3;30;66;L=4;66;86;
41;L=3;38;94;L=4;94;114;
42;L=3;33;76;L=4;76;86;
