ProductID;L=3;V_3;E_3;L=4;V_4;E_4;
1;L=3;67;76;L=4;76;85;
2;L=3;60;63;L=4;63;66;
3;L=3;68;77;L=4;77;86;
4;L=3;68;77;L=4;77;86;
5;L=3;68;77;L=4;77;86;
6;L=3;64;69;L=4;69;74;
7;L=3;68;77;L=4;77;86;
8;L=3;73;89;L=4;89;106;
9;L=3;72;88;L=4;88;105;
10;L=3;72;88;L=4;88;105;
11;L=3;73;89;L=4;89;106;
12;L=3;73;89;L=4;89;106;
13;L=3;72;88;L=4;88;105;
14;L=3;72;88;L=4;88;105;
15;L=3;68;77;L=4;77;86;
16;L=3;68;77;L=4;77;86;
17;L=3;67;76;L=4;76;85;
18;L=3;68;77;L=4;77;86;
19;L=3;68;77;L=4;77;86;
20;L=3;68;77;L=4;77;86;
21;L=3;68;77;L=4;77;86;
22;L=3;68;77;L=4;77;86;
23;L=3;73;89;L=4;89;106;
24;L=3;64;69;L=4;69;74;
25;L=3;68;77;L=4;77;86;
26;L=3;64;69;L=4;69;74;
27;L=3;68;77;L=4;77;86;
28;L=3;67;76;L=4;76;85;
29;L=3;68;77;L=4;77;86;
30;L=3;67;76;L=4;76;85;
31;L=3;73;89;L=4;89;106;
32;L=3;67;76;L=4;76;85;
33;L=3;67;76;L=4;76;85;
34;L=3;73;89;L=4;89;106;
35;L=3;73;89;L=4;89;106;
36;L=3;61;64;L=4;64;67;
37;L=3;63;68;L=4;68;73;
38;L=3;68;77;L=4;77;86;
39;L=3;73;89;L=4;89;106;
40;L=3;72;88;L=4;88;105;
41;L=3;68;77;L=4;77;86;
42;L=3;68;77;L=4;77;86;
43;L=3;72;88;L=4;88;105;
44;L=3;72;88;L=4;88;105;
45;L=3;68;77;L=4;77;86;
46;L=3;61;66;L=4;66;71;
47;L=3;73;89;L=4;89;106;
48;L=3;64;69;L=4;69;74;
49;L=3;64;69;L=4;69;74;
50;L=3;67;76;L=4;76;85;
51;L=3;73;89;L=4;89;106;
52;L=3;72;88;L=4;88;105;
53;L=3;72;88;L=4;88;105;
54;L=3;73;89;L=4;89;106;
55;L=3;58;61;L=4;61;64;
56;L=3;73;89;L=4;89;106;
57;L=3;72;88;L=4;88;105;
58;L=3;63;68;L=4;68;73;
59;L=3;73;89;L=4;89;106;
60;L=3;68;77;L=4;77;86;
61;L=3;73;89;L=4;89;106;
62;L=3;73;89;L=4;89;106;
63;L=3;72;88;L=4;88;105;
64;L=3;68;77;L=4;77;86;
65;L=3;73;89;L=4;89;106;
66;L=3;68;77;L=4;77;86;
67;L=3;68;77;L=4;77;86;
68;L=3;68;77;L=4;77;86;
69;L=3;68;77;L=4;77;86;
70;L=3;68;77;L=4;77;86;
71;L=3;67;76;L=4;76;85;
72;L=3;68;77;L=4;77;86;
73;L=3;68;77;L=4;77;86;
74;L=3;64;69;L=4;69;74;
75;L=3;72;88;L=4;88;105;
76;L=3;73;89;L=4;89;106;
77;L=3;73;89;L=4;89;106;
78;L=3;72;88;L=4;88;105;
79;L=3;72;88;L=4;88;105;
80;L=3;73;89;L=4;89;106;
81;L=3;73;89;L=4;89;106;
82;L=3;64;69;L=4;69;74;
83;L=3;73;89;L=4;89;106;
84;L=3;68;77;L=4;77;86;
85;L=3;68;77;L=4;77;86;
86;L=3;73;89;L=4;89;106;
87;L=3;73;89;L=4;89;106;
88;L=3;73;89;L=4;89;106;
89;L=3;73;89;L=4;89;106;
90;L=3;73;89;L=4;89;106;
91;L=3;67;76;L=4;76;85;
92;L=3;73;89;L=4;89;106;
93;L=3;68;77;L=4;77;86;
94;L=3;67;76;L=4;76;85;
95;L=3;73;89;L=4;89;106;
96;L=3;73;89;L=4;89;106;
97;L=3;73;89;L=4;89;106;
98;L=3;68;77;L=4;77;86;
99;L=3;73;89;L=4;89;106;
100;L=3;72;88;L=4;88;105;
101;L=3;64;69;L=4;69;74;
102;L=3;72;88;L=4;88;105;
103;L=3;73;89;L=4;89;106;
104;L=3;68;77;L=4;77;86;
105;L=3;68;77;L=4;77;86;
106;L=3;68;77;L=4;77;86;
107;L=3;67;76;L=4;76;85;
108;L=3;68;77;L=4;77;86;
109;L=3;73;89;L=4;89;106;
110;L=3;63;68;L=4;68;73;
111;L=3;68;77;L=4;77;86;
112;L=3;64;69;L=4;69;74;
113;L=3;73;89;L=4;89;106;
114;L=3;68;77;L=4;77;86;
115;L=3;68;77;L=4;77;86;
116;L=3;73;89;L=4;89;106;
117;L=3;68;77;L=4;77;86;
118;L=3;73;89;L=4;89;106;
119;L=3;73;89;L=4;89;106;
120;L=3;63;68;L=4;68;73;
121;L=3;72;88;L=4;88;105;
122;L=3;64;69;L=4;69;74;
123;L=3;72;88;L=4;88;105;
124;L=3;73;89;L=4;89;106;
125;L=3;73;89;L=4;89;106;
126;L=3;73;89;L=4;89;106;
127;L=3;68;77;L=4;77;86;
128;L=3;72;88;L=4;88;105;
129;L=3;73;89;L=4;89;106;
130;L=3;73;89;L=4;89;106;
131;L=3;68;77;L=4;77;86;
132;L=3;64;69;L=4;69;74;
133;L=3;68;77;L=4;77;86;
134;L=3;73;89;L=4;89;106;
135;L=3;73;89;L=4;89;106;
136;L=3;73;89;L=4;89;106;
137;L=3;73;89;L=4;89;106;
138;L=3;73;89;L=4;89;106;
139;L=3;64;69;L=4;69;74;
140;L=3;68;77;L=4;77;86;
141;L=3;72;88;L=4;88;105;
142;L=3;67;76;L=4;76;85;
143;L=3;73;89;L=4;89;106;
144;L=3;73;89;L=4;89;106;
145;L=3;64;69;L=4;69;74;
146;L=3;73;89;L=4;89;106;
147;L=3;73;89;L=4;89;106;
148;L=3;67;76;L=4;76;85;
149;L=3;68;77;L=4;77;86;
150;L=3;73;89;L=4;89;106;
151;L=3;68;77;L=4;77;86;
152;L=3;72;88;L=4;88;105;
153;L=3;72;88;L=4;88;105;
154;L=3;67;76;L=4;76;85;
155;L=3;72;88;L=4;88;105;
156;L=3;61;66;L=4;66;71;
157;L=3;73;89;L=4;89;106;
158;L=3;73;89;L=4;89;106;
159;L=3;73;89;L=4;89;106;
160;L=3;68;77;L=4;77;86;
161;L=3;68;77;L=4;77;86;
162;L=3;73;89;L=4;89;106;
163;L=3;68;77;L=4;77;86;
164;L=3;73;89;L=4;89;106;
165;L=3;67;76;L=4;76;85;
166;L=3;64;69;L=4;69;74;
167;L=3;68;77;L=4;77;86;
168;L=3;67;76;L=4;76;85;
169;L=3;68;77;L=4;77;86;
170;L=3;72;88;L=4;88;105;
171;L=3;64;69;L=4;69;74;
172;L=3;73;89;L=4;89;106;
173;L=3;67;76;L=4;76;85;
174;L=3;68;77;L=4;77;86;
175;L=3;73;89;L=4;89;106;
176;L=3;68;77;L=4;77;86;
177;L=3;73;89;L=4;89;106;
178;L=3;73;89;L=4;89;106;
179;L=3;67;76;L=4;76;85;
180;L=3;68;77;L=4;77;86;
181;L=3;68;77;L=4;77;86;
182;L=3;73;89;L=4;89;106;
183;L=3;73;89;L=4;89;106;
184;L=3;68;77;L=4;77;86;
185;L=3;73;89;L=4;89;106;
186;L=3;68;77;L=4;77;86;
187;L=3;68;77;L=4;77;86;
188;L=3;72;88;L=4;88;105;
189;L=3;67;76;L=4;76;85;
190;L=3;68;77;L=4;77;86;
191;L=3;72;88;L=4;88;105;
192;L=3;73;89;L=4;89;106;
193;L=3;68;77;L=4;77;86;
194;L=3;64;69;L=4;69;74;
195;L=3;68;77;L=4;77;86;
196;L=3;73;89;L=4;89;106;
197;L=3;73;89;L=4;89;106;
198;L=3;68;77;L=4;77;86;
199;L=3;68;77;L=4;77;86;
200;L=3;73;89;L=4;89;106;
201;L=3;72;88;L=4;88;105;
202;L=3;73;89;L=4;89;106;
203;L=3;73;89;L=4;89;106;
204;L=3;73;89;L=4;89;106;
205;L=3;67;76;L=4;76;85;
206;L=3;67;76;L=4;76;85;
207;L=3;73;89;L=4;89;106;
208;L=3;63;68;L=4;68;73;
209;L=3;68;77;L=4;77;86;
210;L=3;68;77;L=4;77;86;
211;L=3;68;77;L=4;77;86;
212;L=3;68;77;L=4;77;86;
213;L=3;68;77;L=4;77;86;
214;L=3;64;69;L=4;69;74;
215;L=3;68;77;L=4;77;86;
216;L=3;68;77;L=4;77;86;
217;L=3;68;77;L=4;77;86;
218;L=3;73;89;L=4;89;106;
219;L=3;68;77;L=4;77;86;
220;L=3;73;89;L=4;89;106;
221;L=3;72;88;L=4;88;105;
222;L=3;73;89;L=4;89;106;
223;L=3;68;77;L=4;77;86;
224;L=3;68;77;L=4;77;86;
225;L=3;72;88;L=4;88;105;
226;L=3;73;89;L=4;89;106;
227;L=3;73;89;L=4;89;106;
228;L=3;60;63;L=4;63;66;
229;L=3;68;77;L=4;77;86;
230;L=3;68;77;L=4;77;86;
231;L=3;68;77;L=4;77;86;
232;L=3;68;77;L=4;77;86;
233;L=3;73;89;L=4;89;106;
234;L=3;64;69;L=4;69;74;
235;L=3;67;76;L=4;76;85;
236;L=3;68;77;L=4;77;86;
237;L=3;73;89;L=4;89;106;
238;L=3;63;68;L=4;68;73;
239;L=3;64;69;L=4;69;74;
240;L=3;68;77;L=4;77;86;
241;L=3;68;77;L=4;77;86;
242;L=3;73;89;L=4;89;106;
243;L=3;73;89;L=4;89;106;
244;L=3;68;77;L=4;77;86;
245;L=3;68;77;L=4;77;86;
246;L=3;68;77;L=4;77;86;
247;L=3;73;89;L=4;89;106;
248;L=3;63;68;L=4;68;73;
249;L=3;63;68;L=4;68;73;
250;L=3;64;69;L=4;69;74;
251;L=3;73;89;L=4;89;106;
252;L=3;67;76;L=4;76;85;
253;L=3;68;77;L=4;77;86;
254;L=3;73;89;L=4;89;106;
255;L=3;68;77;L=4;77;86;
256;L=3;68;77;L=4;77;86;
257;L=3;68;77;L=4;77;86;
258;L=3;73;89;L=4;89;106;
259;L=3;68;77;L=4;77;86;
260;L=3;68;77;L=4;77;86;
261;L=3;64;69;L=4;69;74;
262;L=3;73;89;L=4;89;106;
263;L=3;73;89;L=4;89;106;
264;L=3;73;89;L=4;89;106;
265;L=3;64;69;L=4;69;74;
266;L=3;73;89;L=4;89;106;
267;L=3;73;89;L=4;89;106;
268;L=3;72;88;L=4;88;105;
269;L=3;67;76;L=4;76;85;
270;L=3;63;68;L=4;68;73;
271;L=3;68;77;L=4;77;86;
272;L=3;63;68;L=4;68;73;
273;L=3;73;89;L=4;89;106;
274;L=3;68;77;L=4;77;86;
275;L=3;67;76;L=4;76;85;
276;L=3;73;89;L=4;89;106;
277;L=3;73;89;L=4;89;106;
