SPL;Operator;Number of Mutants;Number of Detected  Mutants L=2; Fault Detection Percentange L=2;Number of Detected  Mutants L=3; Fault Detection Percentange L=3;Number of Detected  Mutants L=4; Fault Detection Percentange L=4
SVM;Edge Inserter;588;486;82,65;486;82,65;486;82,65
SVM;Edge Omitter;78;78;100,00;78;100,00;78;100,00
SVM;Event Inserter;666;666;100,00;666;100,00;666;100,00
SVM;Event Omitter;86;86;100,00;86;100,00;86;100,00
eM;Edge Inserter;2832;2832;100,00;2832;100,00;2832;100,00
eM;Edge Omitter;435;435;100,00;435;100,00;435;100,00
eM;Event Omitter;269;269;100,00;269;100,00;269;100,00
eM;Event Inserter;3267;3267;100,00;3267;100,00;3267;100,00
BAv2;Edge Inserter;264999;247788;93,51;247788;93,51;232806;87,85
BAv2;Edge Omitter;9435;9363;99,24;9435;100,00;8766;92,91
BAv2;Event Inserter;274434;274434;100,00;274434;100,00;251064;91,48
BAv2;Event Omitter;11412;11412;100,00;11412;100,00;10242;89,75
