Product ID,Features,Mutation Operator,Mutation Element,Mutant ID,Is Mutant Valid?,Is Fault Detected?
1,P01: <t>,Event Inserter,pay/!f-coffee/co,coffee/co-pay/!f,1,true,true
1,P01: <t>,Event Inserter,pay/!f-coffee/co,coffee/co-serveTea/t,2,true,true
1,P01: <t>,Event Inserter,pay/!f-coffee/co,coffee/co-change/!f,3,true,true
1,P01: <t>,Event Inserter,pay/!f-coffee/co,coffee/co-tea/t,4,true,true
1,P01: <t>,Event Inserter,pay/!f-coffee/co,coffee/co-open/!f,5,true,true
1,P01: <t>,Event Inserter,pay/!f-coffee/co,coffee/co-take/!f,6,true,true
1,P01: <t>,Event Inserter,pay/!f-coffee/co,coffee/co-close/!f,7,true,true
1,P01: <t>,Event Inserter,serveTea/t-coffee/co,coffee/co-pay/!f,8,true,true
1,P01: <t>,Event Inserter,serveTea/t-coffee/co,coffee/co-serveTea/t,9,true,true
1,P01: <t>,Event Inserter,serveTea/t-coffee/co,coffee/co-change/!f,10,true,true
1,P01: <t>,Event Inserter,serveTea/t-coffee/co,coffee/co-tea/t,11,true,true
1,P01: <t>,Event Inserter,serveTea/t-coffee/co,coffee/co-open/!f,12,true,true
1,P01: <t>,Event Inserter,serveTea/t-coffee/co,coffee/co-take/!f,13,true,true
1,P01: <t>,Event Inserter,serveTea/t-coffee/co,coffee/co-close/!f,14,true,true
1,P01: <t>,Event Inserter,change/!f-coffee/co,coffee/co-pay/!f,15,true,true
1,P01: <t>,Event Inserter,change/!f-coffee/co,coffee/co-serveTea/t,16,true,true
1,P01: <t>,Event Inserter,change/!f-coffee/co,coffee/co-change/!f,17,true,true
1,P01: <t>,Event Inserter,change/!f-coffee/co,coffee/co-tea/t,18,true,true
1,P01: <t>,Event Inserter,change/!f-coffee/co,coffee/co-open/!f,19,true,true
1,P01: <t>,Event Inserter,change/!f-coffee/co,coffee/co-take/!f,20,true,true
1,P01: <t>,Event Inserter,change/!f-coffee/co,coffee/co-close/!f,21,true,true
1,P01: <t>,Event Inserter,tea/t-coffee/co,coffee/co-pay/!f,22,true,true
1,P01: <t>,Event Inserter,tea/t-coffee/co,coffee/co-serveTea/t,23,true,true
1,P01: <t>,Event Inserter,tea/t-coffee/co,coffee/co-change/!f,24,true,true
1,P01: <t>,Event Inserter,tea/t-coffee/co,coffee/co-tea/t,25,true,true
1,P01: <t>,Event Inserter,tea/t-coffee/co,coffee/co-open/!f,26,true,true
1,P01: <t>,Event Inserter,tea/t-coffee/co,coffee/co-take/!f,27,true,true
1,P01: <t>,Event Inserter,tea/t-coffee/co,coffee/co-close/!f,28,true,true
1,P01: <t>,Event Inserter,open/!f-coffee/co,coffee/co-pay/!f,29,true,true
1,P01: <t>,Event Inserter,open/!f-coffee/co,coffee/co-serveTea/t,30,true,true
1,P01: <t>,Event Inserter,open/!f-coffee/co,coffee/co-change/!f,31,true,true
1,P01: <t>,Event Inserter,open/!f-coffee/co,coffee/co-tea/t,32,true,true
1,P01: <t>,Event Inserter,open/!f-coffee/co,coffee/co-open/!f,33,true,true
1,P01: <t>,Event Inserter,open/!f-coffee/co,coffee/co-take/!f,34,true,true
1,P01: <t>,Event Inserter,open/!f-coffee/co,coffee/co-close/!f,35,true,true
1,P01: <t>,Event Inserter,take/!f-coffee/co,coffee/co-pay/!f,36,true,true
1,P01: <t>,Event Inserter,take/!f-coffee/co,coffee/co-serveTea/t,37,true,true
1,P01: <t>,Event Inserter,take/!f-coffee/co,coffee/co-change/!f,38,true,true
1,P01: <t>,Event Inserter,take/!f-coffee/co,coffee/co-tea/t,39,true,true
1,P01: <t>,Event Inserter,take/!f-coffee/co,coffee/co-open/!f,40,true,true
1,P01: <t>,Event Inserter,take/!f-coffee/co,coffee/co-take/!f,41,true,true
1,P01: <t>,Event Inserter,take/!f-coffee/co,coffee/co-close/!f,42,true,true
1,P01: <t>,Event Inserter,close/!f-coffee/co,coffee/co-pay/!f,43,true,true
