Product ID,Features,Mutation Operator,Mutation Element,Mutant ID,Is Mutant Valid?,Is Fault Detected?
1,P01: <!f- t>,Feature Inserter,j,1,true,true
2,P02: <f- t>,Feature Inserter,j,1,true,true
3,P03: <!f- c- t>,Feature Inserter,j,1,true,true
4,P04: <f- c- t>,Feature Inserter,j,1,true,true
5,P05: <s- !f>,Feature Inserter,j,1,true,true
6,P06: <s- f>,Feature Inserter,j,1,true,true
7,P07: <s- !f- c>,Feature Inserter,j,1,true,true
8,P08: <s- f- c>,Feature Inserter,j,1,true,true
9,P09: <s- !f- c- t>,Feature Inserter,j,1,true,true
10,P10: <s- !f- t>,Feature Inserter,j,1,true,true
11,P11: <s- f- t>,Feature Inserter,j,1,true,true
12,P12: <s- f- c- t>,Feature Inserter,j,1,true,true
