Product ID,Features,Mutation Operator,Mutation Element,Mutant ID,Is Mutant Valid?,Is Fault Detected?
1,P01: <t>,Feature Omitter,t,1,true,true
2,P02: <f- t>,Feature Omitter,f,1,true,true
2,P02: <f- t>,Feature Omitter,t,2,true,true
3,P03: <c- t>,Feature Omitter,c,1,true,true
3,P03: <c- t>,Feature Omitter,t,2,true,true
4,P04: <f- c- t>,Feature Omitter,f,1,true,true
4,P04: <f- c- t>,Feature Omitter,c,2,true,true
4,P04: <f- c- t>,Feature Omitter,t,3,true,true
5,P05: <s>,Feature Omitter,s,1,true,true
6,P06: <s- f>,Feature Omitter,s,1,true,true
6,P06: <s- f>,Feature Omitter,f,2,true,true
7,P07: <s- c>,Feature Omitter,s,1,true,true
7,P07: <s- c>,Feature Omitter,c,2,true,true
8,P08: <s- f- c>,Feature Omitter,s,1,true,true
8,P08: <s- f- c>,Feature Omitter,f,2,true,true
8,P08: <s- f- c>,Feature Omitter,c,3,true,true
9,P09: <s- c- t>,Feature Omitter,s,1,true,true
9,P09: <s- c- t>,Feature Omitter,c,2,true,true
9,P09: <s- c- t>,Feature Omitter,t,3,true,true
10,P10: <s- t>,Feature Omitter,s,1,true,true
10,P10: <s- t>,Feature Omitter,t,2,true,true
11,P11: <s- f- t>,Feature Omitter,s,1,true,true
11,P11: <s- f- t>,Feature Omitter,f,2,true,true
11,P11: <s- f- t>,Feature Omitter,t,3,true,true
12,P12: <s- f- c- t>,Feature Omitter,s,1,true,true
12,P12: <s- f- c- t>,Feature Omitter,f,2,true,true
12,P12: <s- f- c- t>,Feature Omitter,c,3,true,true
12,P12: <s- f- c- t>,Feature Omitter,t,4,true,true
