Mutation Operator,Product ID,Number of Valid Mutants,Number of Invalid Mutants,Number of Detected Valid Mutants,Number of Detected Invalid Mutants,Total Number of Mutants,Total Number of Detected Faults
Edge Inserter,1,43,0,35,0,43,35
Edge Inserter,2,13,0,8,0,13,8
Edge Inserter,3,73,0,62,0,73,62
Edge Inserter,4,31,0,23,0,31,23
Edge Inserter,5,43,0,35,0,43,35
Edge Inserter,6,13,0,8,0,13,8
Edge Inserter,7,73,0,62,0,73,62
Edge Inserter,8,31,0,23,0,31,23
Edge Inserter,9,110,0,97,0,110,97
Edge Inserter,10,72,0,62,0,72,62
Edge Inserter,11,30,0,24,0,30,24
Edge Inserter,12,56,0,47,0,56,47
Edge Omitter,1,6,6,6,0,6,6
Edge Omitter,2,3,3,3,0,3,3
Edge Omitter,3,8,8,8,0,8,8
Edge Omitter,4,5,5,5,0,5,5
Edge Omitter,5,6,6,6,0,6,6
Edge Omitter,6,3,3,3,0,3,3
Edge Omitter,7,8,8,8,0,8,8
Edge Omitter,8,5,5,5,0,5,5
Edge Omitter,9,11,11,11,0,11,11
Edge Omitter,10,9,9,9,0,9,9
Edge Omitter,11,6,6,6,0,6,6
Edge Omitter,12,8,8,8,0,8,8
Event Inserter,1,49,0,49,0,49,49
Event Inserter,2,16,0,16,0,16,16
Event Inserter,3,81,0,81,0,81,81
Event Inserter,4,36,0,36,0,36,36
Event Inserter,5,49,0,49,0,49,49
Event Inserter,6,16,0,16,0,16,16
Event Inserter,7,81,0,81,0,81,81
Event Inserter,8,36,0,36,0,36,36
Event Inserter,9,121,0,121,0,121,121
Event Inserter,10,81,0,81,0,81,81
Event Inserter,11,36,0,36,0,36,36
Event Inserter,12,64,0,64,0,64,64
Event Omitter,1,7,7,7,0,7,7
Event Omitter,2,4,4,4,0,4,4
Event Omitter,3,9,9,9,0,9,9
Event Omitter,4,6,6,6,0,6,6
Event Omitter,5,7,7,7,0,7,7
Event Omitter,6,4,4,4,0,4,4
Event Omitter,7,9,9,9,0,9,9
Event Omitter,8,6,6,6,0,6,6
Event Omitter,9,11,11,11,0,11,11
Event Omitter,10,9,9,9,0,9,9
Event Omitter,11,6,6,6,0,6,6
Event Omitter,12,8,8,8,0,8,8
Feature Inserter,1,1,0,1,0,1,1
Feature Inserter,2,1,0,1,0,1,1
Feature Inserter,3,1,0,1,0,1,1
Feature Inserter,4,1,0,1,0,1,1
Feature Inserter,5,1,0,1,0,1,1
Feature Inserter,6,1,0,1,0,1,1
Feature Inserter,7,1,0,1,0,1,1
Feature Inserter,8,1,0,1,0,1,1
Feature Inserter,9,1,0,1,0,1,1
Feature Inserter,10,1,0,1,0,1,1
Feature Inserter,11,1,0,1,0,1,1
Feature Inserter,12,1,0,1,0,1,1
Feature Omitter,1,1,1,1,0,1,1
Feature Omitter,2,2,2,2,0,2,2
Feature Omitter,1,1,1,1,0,1,1
Feature Omitter,2,2,2,2,0,2,2
Feature Omitter,1,1,1,1,0,1,1
Feature Omitter,2,2,2,2,0,2,2
Feature Omitter,1,1,1,1,0,1,1
Feature Omitter,2,2,2,2,0,2,2
Feature Omitter,3,2,1,2,0,2,2
Feature Omitter,4,3,3,3,0,3,3
Feature Omitter,5,1,1,1,0,1,1
Feature Omitter,6,2,2,2,0,2,2
Feature Omitter,7,2,1,2,0,2,2
Feature Omitter,8,3,3,3,0,3,3
Feature Omitter,9,3,0,3,0,3,3
Feature Omitter,10,2,0,2,0,2,2
Feature Omitter,11,3,3,3,0,3,3
Feature Omitter,12,4,4,4,0,4,4
