"Product ID";"Features";"Mutation Operator";"Mutation Element";"Mutant ID";"Is Mutant Valid?";"Is Fault Detected L=2?";"Is Fault Detected L=3?";"Is Fault Detected L=4?"
1;"P000001: <t>:1 features";"Edge Omitter";"pay/!f-change/!f";1;"false";"TRUE";"TRUE";"TRUE"
1;"P000001: <t>:1 features";"Edge Omitter";"change/!f-tea/t";2;"false";"TRUE";"TRUE";"TRUE"
1;"P000001: <t>:1 features";"Edge Omitter";"tea/t-serveTea/t";3;"false";"TRUE";"TRUE";"TRUE"
1;"P000001: <t>:1 features";"Edge Omitter";"serveTea/t-open/!f";4;"false";"TRUE";"TRUE";"TRUE"
1;"P000001: <t>:1 features";"Edge Omitter";"open/!f-take/!f";5;"false";"TRUE";"TRUE";"TRUE"
1;"P000001: <t>:1 features";"Edge Omitter";"take/!f-close/!f";6;"false";"TRUE";"TRUE";"TRUE"
2;"P000002: <f, t>:2 features";"Edge Omitter";"free/f-tea/t";1;"false";"TRUE";"TRUE";"TRUE"
2;"P000002: <f, t>:2 features";"Edge Omitter";"tea/t-serveTea/t";2;"false";"TRUE";"TRUE";"TRUE"
2;"P000002: <f, t>:2 features";"Edge Omitter";"serveTea/t-take/f";3;"false";"TRUE";"TRUE";"TRUE"
3;"P000003: <c, t>:2 features";"Edge Omitter";"pay/!f-change/!f";1;"false";"TRUE";"TRUE";"TRUE"
3;"P000003: <c, t>:2 features";"Edge Omitter";"change/!f-tea/t";2;"false";"TRUE";"TRUE";"TRUE"
3;"P000003: <c, t>:2 features";"Edge Omitter";"tea/t-serveTea/t";3;"false";"TRUE";"TRUE";"TRUE"
3;"P000003: <c, t>:2 features";"Edge Omitter";"change/!f-cancel/c";4;"false";"TRUE";"TRUE";"TRUE"
3;"P000003: <c, t>:2 features";"Edge Omitter";"cancel/c-return/c";5;"false";"TRUE";"TRUE";"TRUE"
3;"P000003: <c, t>:2 features";"Edge Omitter";"serveTea/t-open/!f";6;"false";"TRUE";"TRUE";"TRUE"
3;"P000003: <c, t>:2 features";"Edge Omitter";"open/!f-take/!f";7;"false";"TRUE";"TRUE";"TRUE"
3;"P000003: <c, t>:2 features";"Edge Omitter";"take/!f-close/!f";8;"false";"TRUE";"TRUE";"TRUE"
4;"P000004: <f, c, t>:3 features";"Edge Omitter";"free/f-tea/t";1;"false";"TRUE";"TRUE";"TRUE"
