ProductID;L=3;V_3;E_3;L=4;V_4;E_4;
1;L=3;22;24;L=4;24;24;
2;L=3;27;40;L=4;40;63;
3;L=3;31;45;L=4;45;69;
4;L=3;36;61;L=4;61;108;
5;L=3;40;66;L=4;66;114;
6;L=3;45;82;L=4;82;153;
7;L=3;31;45;L=4;45;69;
8;L=3;36;61;L=4;61;108;
9;L=3;40;66;L=4;66;114;
10;L=3;49;87;L=4;87;159;
11;L=3;52;93;L=4;93;168;
12;L=3;38;56;L=4;56;84;
13;L=3;43;72;L=4;72;123;
14;L=3;47;77;L=4;77;129;
15;L=3;56;98;L=4;98;174;
16;L=3;55;100;L=4;100;185;
17;L=3;59;105;L=4;105;191;
18;L=3;57;103;L=4;103;189;
19;L=3;27;40;L=4;40;63;
20;L=3;31;45;L=4;45;69;
21;L=3;36;61;L=4;61;108;
22;L=3;40;66;L=4;66;114;
23;L=3;45;82;L=4;82;153;
24;L=3;49;87;L=4;87;159;
25;L=3;52;93;L=4;93;168;
26;L=3;34;51;L=4;51;78;
27;L=3;38;56;L=4;56;84;
28;L=3;43;72;L=4;72;123;
29;L=3;47;77;L=4;77;129;
30;L=3;56;98;L=4;98;174;
31;L=3;55;100;L=4;100;185;
32;L=3;59;105;L=4;105;191;
33;L=3;61;108;L=4;108;195;
34;L=3;20;22;L=4;22;22;
35;L=3;24;27;L=4;27;28;
36;L=3;29;43;L=4;43;67;
37;L=3;33;48;L=4;48;73;
38;L=3;38;64;L=4;64;112;
39;L=3;42;69;L=4;69;118;
40;L=3;47;85;L=4;85;157;
41;L=3;29;43;L=4;43;67;
42;L=3;33;48;L=4;48;73;
43;L=3;38;64;L=4;64;112;
44;L=3;42;69;L=4;69;118;
45;L=3;51;90;L=4;90;163;
46;L=3;54;96;L=4;96;172;
47;L=3;36;54;L=4;54;82;
48;L=3;40;59;L=4;59;88;
49;L=3;45;75;L=4;75;127;
50;L=3;49;80;L=4;80;133;
51;L=3;58;101;L=4;101;178;
52;L=3;58;104;L=4;104;190;
53;L=3;23;25;L=4;25;25;
54;L=3;28;41;L=4;41;64;
55;L=3;32;46;L=4;46;70;
56;L=3;37;62;L=4;62;109;
57;L=3;41;67;L=4;67;115;
58;L=3;46;83;L=4;83;154;
59;L=3;32;46;L=4;46;70;
60;L=3;37;62;L=4;62;109;
61;L=3;41;67;L=4;67;115;
62;L=3;50;88;L=4;88;160;
63;L=3;53;94;L=4;94;169;
64;L=3;39;57;L=4;57;85;
65;L=3;44;73;L=4;73;124;
66;L=3;48;78;L=4;78;130;
67;L=3;57;99;L=4;99;175;
68;L=3;56;101;L=4;101;186;
69;L=3;60;106;L=4;106;192;
70;L=3;62;109;L=4;109;196;
71;L=3;28;41;L=4;41;64;
72;L=3;32;46;L=4;46;70;
73;L=3;37;62;L=4;62;109;
74;L=3;41;67;L=4;67;115;
75;L=3;46;83;L=4;83;154;
76;L=3;50;88;L=4;88;160;
77;L=3;53;94;L=4;94;169;
78;L=3;35;52;L=4;52;79;
79;L=3;39;57;L=4;57;85;
80;L=3;44;73;L=4;73;124;
81;L=3;48;78;L=4;78;130;
82;L=3;57;99;L=4;99;175;
83;L=3;56;101;L=4;101;186;
84;L=3;60;106;L=4;106;192;
85;L=3;55;97;L=4;97;173;
86;L=3;21;23;L=4;23;23;
87;L=3;25;28;L=4;28;29;
88;L=3;30;44;L=4;44;68;
89;L=3;34;49;L=4;49;74;
90;L=3;39;65;L=4;65;113;
91;L=3;43;70;L=4;70;119;
92;L=3;48;86;L=4;86;158;
93;L=3;30;44;L=4;44;68;
94;L=3;34;49;L=4;49;74;
95;L=3;39;65;L=4;65;113;
96;L=3;43;70;L=4;70;119;
97;L=3;52;91;L=4;91;164;
98;L=3;59;102;L=4;102;179;
99;L=3;37;55;L=4;55;83;
100;L=3;41;60;L=4;60;89;
101;L=3;46;76;L=4;76;128;
102;L=3;50;81;L=4;81;134;
103;L=3;62;111;L=4;111;199;
104;L=3;26;29;L=4;29;29;
105;L=3;31;45;L=4;45;68;
106;L=3;35;50;L=4;50;74;
107;L=3;40;66;L=4;66;113;
108;L=3;44;71;L=4;71;119;
109;L=3;49;87;L=4;87;158;
110;L=3;35;50;L=4;50;74;
111;L=3;40;66;L=4;66;113;
112;L=3;44;71;L=4;71;119;
113;L=3;53;92;L=4;92;164;
114;L=3;56;98;L=4;98;173;
115;L=3;42;61;L=4;61;89;
116;L=3;47;77;L=4;77;128;
117;L=3;51;82;L=4;82;134;
118;L=3;60;103;L=4;103;179;
119;L=3;59;105;L=4;105;190;
120;L=3;63;110;L=4;110;196;
121;L=3;61;110;L=4;110;198;
122;L=3;31;45;L=4;45;68;
123;L=3;35;50;L=4;50;74;
124;L=3;40;66;L=4;66;113;
125;L=3;44;71;L=4;71;119;
126;L=3;49;87;L=4;87;158;
127;L=3;53;92;L=4;92;164;
128;L=3;56;98;L=4;98;173;
129;L=3;38;56;L=4;56;83;
130;L=3;42;61;L=4;61;89;
131;L=3;47;77;L=4;77;128;
132;L=3;51;82;L=4;82;134;
133;L=3;60;103;L=4;103;179;
134;L=3;59;105;L=4;105;190;
135;L=3;63;110;L=4;110;196;
136;L=3;65;115;L=4;115;204;
137;L=3;24;29;L=4;29;31;
138;L=3;28;34;L=4;34;37;
139;L=3;33;50;L=4;50;76;
140;L=3;37;55;L=4;55;82;
141;L=3;42;71;L=4;71;121;
142;L=3;46;76;L=4;76;127;
143;L=3;51;92;L=4;92;166;
144;L=3;33;50;L=4;50;76;
145;L=3;37;55;L=4;55;82;
146;L=3;42;71;L=4;71;121;
147;L=3;46;76;L=4;76;127;
148;L=3;55;97;L=4;97;172;
149;L=3;58;103;L=4;103;181;
150;L=3;40;61;L=4;61;91;
151;L=3;44;66;L=4;66;97;
152;L=3;49;82;L=4;82;136;
153;L=3;53;87;L=4;87;142;
154;L=3;62;108;L=4;108;187;
155;L=3;66;116;L=4;116;205;
156;L=3;27;30;L=4;30;30;
157;L=3;32;46;L=4;46;69;
158;L=3;36;51;L=4;51;75;
159;L=3;41;67;L=4;67;114;
160;L=3;45;72;L=4;72;120;
161;L=3;50;88;L=4;88;159;
162;L=3;36;51;L=4;51;75;
163;L=3;41;67;L=4;67;114;
164;L=3;45;72;L=4;72;120;
165;L=3;54;93;L=4;93;165;
166;L=3;57;99;L=4;99;174;
167;L=3;43;62;L=4;62;90;
168;L=3;48;78;L=4;78;129;
169;L=3;52;83;L=4;83;135;
170;L=3;61;104;L=4;104;180;
171;L=3;60;106;L=4;106;191;
172;L=3;64;111;L=4;111;197;
173;L=3;60;106;L=4;106;191;
174;L=3;32;46;L=4;46;69;
175;L=3;36;51;L=4;51;75;
176;L=3;41;67;L=4;67;114;
177;L=3;45;72;L=4;72;120;
178;L=3;50;88;L=4;88;159;
179;L=3;54;93;L=4;93;165;
180;L=3;57;99;L=4;99;174;
181;L=3;39;57;L=4;57;84;
182;L=3;43;62;L=4;62;90;
183;L=3;48;78;L=4;78;129;
184;L=3;52;83;L=4;83;135;
185;L=3;61;104;L=4;104;180;
186;L=3;64;111;L=4;111;197;
187;L=3;59;104;L=4;104;182;
188;L=3;25;30;L=4;30;32;
189;L=3;29;35;L=4;35;38;
190;L=3;34;51;L=4;51;77;
191;L=3;38;56;L=4;56;83;
192;L=3;43;72;L=4;72;122;
193;L=3;47;77;L=4;77;128;
194;L=3;52;93;L=4;93;167;
195;L=3;34;51;L=4;51;77;
196;L=3;38;56;L=4;56;83;
197;L=3;43;72;L=4;72;122;
198;L=3;47;77;L=4;77;128;
199;L=3;56;98;L=4;98;173;
200;L=3;63;109;L=4;109;188;
201;L=3;41;62;L=4;62;92;
202;L=3;45;67;L=4;67;98;
203;L=3;50;83;L=4;83;137;
204;L=3;54;88;L=4;88;143;
205;L=3;64;113;L=4;113;201;
206;L=3;28;41;L=4;41;64;
207;L=3;23;25;L=4;25;25;
208;L=3;32;46;L=4;46;70;
209;L=3;37;62;L=4;62;109;
210;L=3;41;67;L=4;67;115;
211;L=3;46;83;L=4;83;154;
212;L=3;32;46;L=4;46;70;
213;L=3;37;62;L=4;62;109;
214;L=3;41;67;L=4;67;115;
215;L=3;50;88;L=4;88;160;
216;L=3;53;94;L=4;94;169;
217;L=3;39;57;L=4;57;85;
218;L=3;44;73;L=4;73;124;
219;L=3;48;78;L=4;78;130;
220;L=3;57;99;L=4;99;175;
221;L=3;56;101;L=4;101;186;
222;L=3;60;106;L=4;106;192;
223;L=3;58;106;L=4;106;194;
224;L=3;28;41;L=4;41;64;
225;L=3;32;46;L=4;46;70;
226;L=3;37;62;L=4;62;109;
227;L=3;41;67;L=4;67;115;
228;L=3;46;83;L=4;83;154;
229;L=3;50;88;L=4;88;160;
230;L=3;53;94;L=4;94;169;
231;L=3;35;52;L=4;52;79;
232;L=3;39;57;L=4;57;85;
233;L=3;44;73;L=4;73;124;
234;L=3;48;78;L=4;78;130;
235;L=3;57;99;L=4;99;175;
236;L=3;56;101;L=4;101;186;
237;L=3;60;106;L=4;106;192;
238;L=3;62;111;L=4;111;200;
239;L=3;16;17;L=4;17;16;
240;L=3;21;25;L=4;25;27;
241;L=3;25;30;L=4;30;33;
242;L=3;34;51;L=4;51;78;
243;L=3;30;46;L=4;46;72;
244;L=3;39;67;L=4;67;117;
245;L=3;43;72;L=4;72;123;
246;L=3;48;88;L=4;88;162;
247;L=3;30;46;L=4;46;72;
248;L=3;34;51;L=4;51;78;
249;L=3;39;67;L=4;67;117;
250;L=3;43;72;L=4;72;123;
251;L=3;52;93;L=4;93;168;
252;L=3;55;99;L=4;99;177;
253;L=3;37;57;L=4;57;87;
254;L=3;41;62;L=4;62;93;
255;L=3;46;78;L=4;78;132;
256;L=3;50;83;L=4;83;138;
257;L=3;59;104;L=4;104;183;
258;L=3;63;112;L=4;112;200;
