ProductID;L=3;V_3;E_3;L=4;V_4;E_4;
1;L=3;28;29;L=4;29;30;
2;L=3;42;57;L=4;57;73;
3;L=3;28;29;L=4;29;30;
4;L=3;40;54;L=4;54;69;
5;L=3;35;42;L=4;42;49;
6;L=3;33;39;L=4;39;45;
7;L=3;28;29;L=4;29;30;
8;L=3;35;42;L=4;42;49;
9;L=3;38;51;L=4;51;65;
10;L=3;33;37;L=4;37;41;
11;L=3;35;42;L=4;42;49;
12;L=3;35;42;L=4;42;49;
13;L=3;42;57;L=4;57;73;
14;L=3;40;54;L=4;54;69;
15;L=3;29;31;L=4;31;33;
16;L=3;40;54;L=4;54;69;
17;L=3;33;37;L=4;37;41;
18;L=3;55;97;L=4;97;154;
19;L=3;47;78;L=4;78;125;
20;L=3;31;34;L=4;34;37;
21;L=3;31;34;L=4;34;37;
22;L=3;35;42;L=4;42;49;
23;L=3;31;34;L=4;34;37;
24;L=3;61;124;L=4;124;222;
25;L=3;37;45;L=4;45;53;
26;L=3;31;34;L=4;34;37;
27;L=3;37;45;L=4;45;53;
28;L=3;48;74;L=4;74;105;
29;L=3;38;51;L=4;51;65;
30;L=3;35;42;L=4;42;49;
31;L=3;33;37;L=4;37;41;
32;L=3;63;127;L=4;127;226;
33;L=3;35;42;L=4;42;49;
34;L=3;28;29;L=4;29;30;
35;L=3;35;42;L=4;42;49;
36;L=3;33;37;L=4;37;41;
37;L=3;40;54;L=4;54;69;
38;L=3;46;71;L=4;71;101;
39;L=3;53;94;L=4;94;150;
40;L=3;42;57;L=4;57;73;
41;L=3;29;31;L=4;31;33;
42;L=3;31;34;L=4;34;37;
43;L=3;33;37;L=4;37;41;
44;L=3;40;54;L=4;54;69;
45;L=3;40;54;L=4;54;69;
46;L=3;31;34;L=4;34;37;
47;L=3;29;31;L=4;31;33;
48;L=3;40;54;L=4;54;69;
49;L=3;46;71;L=4;71;101;
50;L=3;33;39;L=4;39;45;
51;L=3;31;34;L=4;34;37;
52;L=3;28;29;L=4;29;30;
