ProductID;L=3;V_3;E_3;L=4;V_4;E_4;
1;L=3;15;35;L=4;35;89;
2;L=3;17;39;L=4;39;102;
3;L=3;19;41;L=4;41;104;
4;L=3;20;45;L=4;45;118;
5;L=3;16;39;L=4;39;103;
6;L=3;18;41;L=4;41;105;
7;L=3;22;47;L=4;47;120;
8;L=3;22;50;L=4;50;133;
9;L=3;15;38;L=4;38;102;
10;L=3;17;40;L=4;40;104;
11;L=3;19;44;L=4;44;117;
12;L=3;21;46;L=4;46;119;
13;L=3;24;52;L=4;52;135;
14;L=3;18;44;L=4;44;118;
15;L=3;20;46;L=4;46;120;
16;L=3;21;46;L=4;46;118;
17;L=3;15;35;L=4;35;88;
18;L=3;17;37;L=4;37;90;
19;L=3;19;41;L=4;41;103;
20;L=3;21;43;L=4;43;105;
21;L=3;23;48;L=4;48;120;
22;L=3;17;40;L=4;40;103;
23;L=3;19;42;L=4;42;105;
