Product ID,Features,Mutation Operator,Mutation Element,Mutant ID,Is Mutant Valid?,Is Fault Detected?
1,P01: <e- au>,Edge Inserter,compose new email/e-compose new email/e,1,true,true
1,P01: <e- au>,Edge Inserter,compose new email/e-send email/e,2,true,true
1,P01: <e- au>,Edge Inserter,compose new email/e-open mailbox/e,3,true,true
1,P01: <e- au>,Edge Inserter,compose new email/e-select email/e,4,true,true
1,P01: <e- au>,Edge Inserter,compose new email/e-enter email autoresponse date interval/au,5,true,true
1,P01: <e- au>,Edge Inserter,compose new email/e-enter autoresponse email body/au,6,true,true
1,P01: <e- au>,Edge Inserter,enter receiver's email address/e-compose new email/e,7,true,true
1,P01: <e- au>,Edge Inserter,enter receiver's email address/e-enter email body/e,8,true,true
1,P01: <e- au>,Edge Inserter,enter receiver's email address/e-open mailbox/e,9,true,true
1,P01: <e- au>,Edge Inserter,enter receiver's email address/e-select email/e,10,true,true
1,P01: <e- au>,Edge Inserter,enter receiver's email address/e-enter email autoresponse date interval/au,11,true,true
1,P01: <e- au>,Edge Inserter,enter receiver's email address/e-enter autoresponse email body/au,12,true,true
1,P01: <e- au>,Edge Inserter,enter email subject/e-compose new email/e,13,true,true
1,P01: <e- au>,Edge Inserter,enter email subject/e-send email/e,14,true,true
1,P01: <e- au>,Edge Inserter,enter email subject/e-open mailbox/e,15,true,true
1,P01: <e- au>,Edge Inserter,enter email subject/e-select email/e,16,true,true
1,P01: <e- au>,Edge Inserter,enter email subject/e-enter email autoresponse date interval/au,17,true,true
1,P01: <e- au>,Edge Inserter,enter email subject/e-enter autoresponse email body/au,18,true,true
1,P01: <e- au>,Edge Inserter,enter email body/e-compose new email/e,19,true,true
1,P01: <e- au>,Edge Inserter,enter email body/e-send email/e,20,true,true
1,P01: <e- au>,Edge Inserter,enter email body/e-open mailbox/e,21,true,true
1,P01: <e- au>,Edge Inserter,enter email body/e-select email/e,22,true,true
1,P01: <e- au>,Edge Inserter,enter email body/e-enter email autoresponse date interval/au,23,true,true
1,P01: <e- au>,Edge Inserter,enter email body/e-enter autoresponse email body/au,24,true,true
1,P01: <e- au>,Edge Inserter,send email/e-compose new email/e,25,true,true
1,P01: <e- au>,Edge Inserter,send email/e-enter receiver's email address/e,26,true,true
1,P01: <e- au>,Edge Inserter,send email/e-enter email subject/e,27,true,true
1,P01: <e- au>,Edge Inserter,send email/e-enter email body/e,28,true,true
1,P01: <e- au>,Edge Inserter,send email/e-send email/e,29,true,true
1,P01: <e- au>,Edge Inserter,send email/e-open mailbox/e,30,true,true
1,P01: <e- au>,Edge Inserter,send email/e-select email/e,31,true,true
1,P01: <e- au>,Edge Inserter,send email/e-enter email autoresponse date interval/au,32,true,true
1,P01: <e- au>,Edge Inserter,send email/e-enter autoresponse email body/au,33,true,true
