Product ID,Features,Mutation Operator,Mutation Element,Mutant ID,Is Mutant Valid?,Is Fault Detected?
1,P01: <e- au>,Edge Omitter,enter receiver's email address/e-enter email subject/e,1,true,true
1,P01: <e- au>,Edge Omitter,enter email subject/e-enter email body/e,2,true,true
1,P01: <e- au>,Edge Omitter,open mailbox/e-select email/e,3,true,true
1,P01: <e- au>,Edge Omitter,compose new email/e-enter receiver's email address/e,4,true,true
1,P01: <e- au>,Edge Omitter,enter receiver's email address/e-send email/e,5,true,true
1,P01: <e- au>,Edge Omitter,enter receiver's email address/e-enter receiver's email address/e,6,true,true
1,P01: <e- au>,Edge Omitter,compose new email/e-enter email subject/e,7,true,true
1,P01: <e- au>,Edge Omitter,enter email subject/e-enter receiver's email address/e,8,true,true
1,P01: <e- au>,Edge Omitter,compose new email/e-enter email body/e,9,true,true
1,P01: <e- au>,Edge Omitter,enter email body/e-enter receiver's email address/e,10,true,true
1,P01: <e- au>,Edge Omitter,enter email subject/e-enter email subject/e,11,true,true
1,P01: <e- au>,Edge Omitter,enter email body/e-enter email body/e,12,true,true
1,P01: <e- au>,Edge Omitter,enter email body/e-enter email subject/e,13,true,true
1,P01: <e- au>,Edge Omitter,enter email autoresponse date interval/au-enter autoresponse email body/au,14,true,true
1,P01: <e- au>,Edge Omitter,enter autoresponse email body/au-enter email autoresponse date interval/au,15,true,true
2,P02: <e- ad>,Edge Omitter,enter receiver's email address/e-enter email subject/e,1,true,true
2,P02: <e- ad>,Edge Omitter,enter email subject/e-enter email body/e,2,true,true
2,P02: <e- ad>,Edge Omitter,open mailbox/e-select email/e,3,true,true
2,P02: <e- ad>,Edge Omitter,compose new email/e-enter receiver's email address/e,4,true,true
2,P02: <e- ad>,Edge Omitter,enter receiver's email address/e-send email/e,5,true,true
2,P02: <e- ad>,Edge Omitter,enter receiver's email address/e-enter receiver's email address/e,6,true,true
2,P02: <e- ad>,Edge Omitter,compose new email/e-enter email subject/e,7,true,true
2,P02: <e- ad>,Edge Omitter,enter email subject/e-enter receiver's email address/e,8,true,true
2,P02: <e- ad>,Edge Omitter,compose new email/e-enter email body/e,9,true,true
2,P02: <e- ad>,Edge Omitter,enter email body/e-enter receiver's email address/e,10,true,true
2,P02: <e- ad>,Edge Omitter,enter email subject/e-enter email subject/e,11,true,true
2,P02: <e- ad>,Edge Omitter,enter email body/e-enter email body/e,12,true,true
2,P02: <e- ad>,Edge Omitter,enter email body/e-enter email subject/e,13,true,true
2,P02: <e- ad>,Edge Omitter,enter the receiver's email address/ad-enter alias email addresses of receiver/ad,14,true,true
2,P02: <e- ad>,Edge Omitter,create an addressbook for a receiver/ad-enter the receiver's email address/ad,15,true,true
2,P02: <e- ad>,Edge Omitter,get alias email addresses of receiver/ad-send email/e,16,true,true
2,P02: <e- ad>,Edge Omitter,enter receiver's email address/e-get alias email addresses of receiver/ad,17,true,true
3,P03: <e- au- ad>,Edge Omitter,enter receiver's email address/e-enter email subject/e,1,true,true
3,P03: <e- au- ad>,Edge Omitter,enter email subject/e-enter email body/e,2,true,true
3,P03: <e- au- ad>,Edge Omitter,open mailbox/e-select email/e,3,true,true
3,P03: <e- au- ad>,Edge Omitter,compose new email/e-enter receiver's email address/e,4,true,true
3,P03: <e- au- ad>,Edge Omitter,enter receiver's email address/e-send email/e,5,true,true
3,P03: <e- au- ad>,Edge Omitter,enter receiver's email address/e-enter receiver's email address/e,6,true,true
