Product ID,Features,Mutation Operator,Mutation Element,Mutant ID,Is Mutant Valid?,Is Fault Detected?
1,P01: <e- au>,Event Omitter,compose new email/e,1,true,true
1,P01: <e- au>,Event Omitter,enter receiver's email address/e,2,true,true
1,P01: <e- au>,Event Omitter,enter email subject/e,3,true,true
1,P01: <e- au>,Event Omitter,enter email body/e,4,true,true
1,P01: <e- au>,Event Omitter,send email/e,5,true,true
1,P01: <e- au>,Event Omitter,open mailbox/e,6,true,true
1,P01: <e- au>,Event Omitter,select email/e,7,true,true
1,P01: <e- au>,Event Omitter,enter email autoresponse date interval/au,8,true,true
1,P01: <e- au>,Event Omitter,enter autoresponse email body/au,9,true,true
2,P02: <e- ad>,Event Omitter,compose new email/e,1,true,true
2,P02: <e- ad>,Event Omitter,enter receiver's email address/e,2,true,true
2,P02: <e- ad>,Event Omitter,enter email subject/e,3,true,true
2,P02: <e- ad>,Event Omitter,enter email body/e,4,true,true
2,P02: <e- ad>,Event Omitter,send email/e,5,true,true
2,P02: <e- ad>,Event Omitter,open mailbox/e,6,true,true
2,P02: <e- ad>,Event Omitter,select email/e,7,true,true
2,P02: <e- ad>,Event Omitter,enter the receiver's email address/ad,8,true,true
2,P02: <e- ad>,Event Omitter,enter alias email addresses of receiver/ad,9,true,true
2,P02: <e- ad>,Event Omitter,create an addressbook for a receiver/ad,10,true,true
2,P02: <e- ad>,Event Omitter,get alias email addresses of receiver/ad,11,true,true
3,P03: <e- au- ad>,Event Omitter,compose new email/e,1,true,true
3,P03: <e- au- ad>,Event Omitter,enter receiver's email address/e,2,true,true
3,P03: <e- au- ad>,Event Omitter,enter email subject/e,3,true,true
3,P03: <e- au- ad>,Event Omitter,enter email body/e,4,true,true
3,P03: <e- au- ad>,Event Omitter,send email/e,5,true,true
3,P03: <e- au- ad>,Event Omitter,open mailbox/e,6,true,true
3,P03: <e- au- ad>,Event Omitter,select email/e,7,true,true
3,P03: <e- au- ad>,Event Omitter,enter email autoresponse date interval/au,8,true,true
3,P03: <e- au- ad>,Event Omitter,enter autoresponse email body/au,9,true,true
3,P03: <e- au- ad>,Event Omitter,enter the receiver's email address/ad,10,true,true
3,P03: <e- au- ad>,Event Omitter,enter alias email addresses of receiver/ad,11,true,true
3,P03: <e- au- ad>,Event Omitter,create an addressbook for a receiver/ad,12,true,true
3,P03: <e- au- ad>,Event Omitter,get alias email addresses of receiver/ad,13,true,true
4,P04: <e- ad- en>,Event Omitter,compose new email/e,1,true,true
4,P04: <e- ad- en>,Event Omitter,enter receiver's email address/e,2,true,true
4,P04: <e- ad- en>,Event Omitter,enter email subject/e,3,true,true
4,P04: <e- ad- en>,Event Omitter,enter email body/e,4,true,true
4,P04: <e- ad- en>,Event Omitter,send email/e,5,true,true
4,P04: <e- ad- en>,Event Omitter,open mailbox/e,6,true,true
4,P04: <e- ad- en>,Event Omitter,select email/e,7,true,true
4,P04: <e- ad- en>,Event Omitter,enter the receiver's email address/ad,8,true,true
4,P04: <e- ad- en>,Event Omitter,enter alias email addresses of receiver/ad,9,true,true
4,P04: <e- ad- en>,Event Omitter,create an addressbook for a receiver/ad,10,true,true
4,P04: <e- ad- en>,Event Omitter,get alias email addresses of receiver/ad,11,true,true
4,P04: <e- ad- en>,Event Omitter,get receiver's public key/en,12,true,true
