Product ID,Features,Mutation Operator,Mutation Element,Mutant ID,Is Mutant Valid?,Is Fault Detected?
1,P01: <e- au>,Feature Inserter,a,1,true,true
2,P02: <e- ad>,Feature Inserter,a,1,true,true
3,P03: <e- au- ad>,Feature Inserter,a,1,true,true
4,P04: <e- ad- en>,Feature Inserter,a,1,true,true
5,P05: <e- en>,Feature Inserter,a,1,true,true
6,P06: <e- au- en>,Feature Inserter,a,1,true,true
7,P07: <e- au- ad- en>,Feature Inserter,a,1,true,true
8,P08: <e- ad- en- s>,Feature Inserter,a,1,true,true
9,P09: <e- s>,Feature Inserter,a,1,true,true
10,P10: <e- au- s>,Feature Inserter,a,1,true,true
11,P11: <e- ad- s>,Feature Inserter,a,1,true,true
12,P12: <e- au- ad- s>,Feature Inserter,a,1,true,true
13,P13: <e- au- ad- en- s>,Feature Inserter,a,1,true,true
14,P14: <e- en- s>,Feature Inserter,a,1,true,true
15,P15: <e- au- en- s>,Feature Inserter,a,1,true,true
16,P16: <e- ad- s- f>,Feature Inserter,a,1,true,true
17,P17: <e- f>,Feature Inserter,a,1,true,true
18,P18: <e- au- f>,Feature Inserter,a,1,true,true
19,P19: <e- ad- f>,Feature Inserter,a,1,true,true
20,P20: <e- au- ad- f>,Feature Inserter,a,1,true,true
21,P21: <e- au- ad- s- f>,Feature Inserter,a,1,true,true
22,P22: <e- s- f>,Feature Inserter,a,1,true,true
23,P23: <e- au- s- f>,Feature Inserter,a,1,true,true
