Mutation Operator,Product ID,Number of Valid Mutants,Number of Invalid Mutants,Number of Detected Valid Mutants,Number of Detected Invalid Mutants,Total Number of Mutants,Total Number of Detected Faults
Edge Inserter,1,66,0,66,0,66,66
Edge Inserter,2,104,0,104,0,104,104
Edge Inserter,3,150,0,150,0,150,150
Edge Inserter,4,149,0,149,0,149,149
Edge Inserter,5,65,0,65,0,65,65
Edge Inserter,6,103,0,103,0,103,103
Edge Inserter,7,203,0,203,0,203,203
Edge Inserter,8,174,0,174,0,174,174
Edge Inserter,9,49,0,49,0,49,49
Edge Inserter,10,83,0,83,0,83,83
Edge Inserter,11,125,0,125,0,125,125
Edge Inserter,12,175,0,175,0,175,175
Edge Inserter,13,232,0,232,0,232,232
Edge Inserter,14,82,0,82,0,82,82
Edge Inserter,15,124,0,124,0,124,124
Edge Inserter,16,148,0,148,0,148,148
Edge Inserter,17,49,0,49,0,49,49
Edge Inserter,18,83,0,83,0,83,83
Edge Inserter,19,125,0,125,0,125,125
Edge Inserter,20,175,0,175,0,175,175
Edge Inserter,21,202,0,202,0,202,202
Edge Inserter,22,64,0,64,0,64,64
Edge Inserter,23,102,0,102,0,102,102
Edge Omitter,1,15,3,15,0,15,15
Edge Omitter,2,17,5,17,0,17,17
Edge Omitter,3,19,6,19,0,19,19
Edge Omitter,4,20,8,20,0,20,20
Edge Omitter,5,16,4,16,0,16,16
Edge Omitter,6,18,5,18,0,18,18
Edge Omitter,7,22,9,22,0,22,22
Edge Omitter,8,22,10,22,0,22,22
Edge Omitter,9,15,3,15,0,15,15
Edge Omitter,10,17,4,17,0,17,17
Edge Omitter,11,19,7,19,0,19,19
Edge Omitter,12,21,8,21,0,21,21
Edge Omitter,13,24,11,24,0,24,24
Edge Omitter,14,18,6,18,0,18,18
Edge Omitter,15,20,7,20,0,20,20
Edge Omitter,16,21,9,21,0,21,21
Edge Omitter,17,15,4,15,0,15,15
Edge Omitter,18,17,5,17,0,17,17
Edge Omitter,19,19,7,19,0,19,19
Edge Omitter,20,21,8,21,0,21,21
Edge Omitter,21,23,10,23,0,23,23
Edge Omitter,22,17,5,17,0,17,17
Edge Omitter,23,19,6,19,0,19,19
Event Inserter,1,81,0,81,0,81,81
Event Inserter,2,121,0,121,0,121,121
Event Inserter,3,169,0,169,0,169,169
Event Inserter,4,169,0,169,0,169,169
Event Inserter,5,81,0,81,0,81,81
Event Inserter,6,121,0,121,0,121,121
Event Inserter,7,225,0,225,0,225,225
Event Inserter,8,196,0,196,0,196,196
Event Inserter,9,64,0,64,0,64,64
Event Inserter,10,100,0,100,0,100,100
Event Inserter,11,144,0,144,0,144,144
Event Inserter,12,196,0,196,0,196,196
Event Inserter,13,256,0,256,0,256,256
Event Inserter,14,100,0,100,0,100,100
Event Inserter,15,144,0,144,0,144,144
Event Inserter,16,169,0,169,0,169,169
Event Inserter,17,64,0,64,0,64,64
Event Inserter,18,100,0,100,0,100,100
