Mutation Operator;Product ID;Number of Valid Mutants;Number of Invalid Mutants;Detected Valid Mutants L=2; Detected Invalid Mutants L=2;Fault Detection Percentange L=2;Detected Valid Mutants L=3; Detected Invalid Mutants L=3;Fault Detection Percentange L=3;Detected Valid Mutants L=4; Detected Invalid Mutants L=4;Fault Detection Percentange L=4
Edge Inserter;1;66;0;66;0;100,00;66;0;100,00;66;0;100,00;
Edge Inserter;2;104;0;104;0;100,00;104;0;100,00;104;0;100,00;
Edge Inserter;3;150;0;150;0;100,00;150;0;100,00;150;0;100,00;
Edge Inserter;4;149;0;149;0;100,00;149;0;100,00;149;0;100,00;
Edge Inserter;5;65;0;65;0;100,00;65;0;100,00;65;0;100,00;
Edge Inserter;6;103;0;103;0;100,00;103;0;100,00;103;0;100,00;
Edge Inserter;7;203;0;203;0;100,00;203;0;100,00;203;0;100,00;
Edge Inserter;8;174;0;174;0;100,00;174;0;100,00;174;0;100,00;
Edge Inserter;9;49;0;49;0;100,00;49;0;100,00;49;0;100,00;
Edge Inserter;10;83;0;83;0;100,00;83;0;100,00;83;0;100,00;
Edge Inserter;11;125;0;125;0;100,00;125;0;100,00;125;0;100,00;
Edge Inserter;12;175;0;175;0;100,00;175;0;100,00;175;0;100,00;
Edge Inserter;13;232;0;232;0;100,00;232;0;100,00;232;0;100,00;
Edge Inserter;14;82;0;82;0;100,00;82;0;100,00;82;0;100,00;
Edge Inserter;15;124;0;124;0;100,00;124;0;100,00;124;0;100,00;
Edge Inserter;16;148;0;148;0;100,00;148;0;100,00;148;0;100,00;
Edge Inserter;17;49;0;49;0;100,00;49;0;100,00;49;0;100,00;
Edge Inserter;18;83;0;83;0;100,00;83;0;100,00;83;0;100,00;
Edge Inserter;19;125;0;125;0;100,00;125;0;100,00;125;0;100,00;
Edge Inserter;20;175;0;175;0;100,00;175;0;100,00;175;0;100,00;
Edge Inserter;21;202;0;202;0;100,00;202;0;100,00;202;0;100,00;
Edge Inserter;22;64;0;64;0;100,00;64;0;100,00;64;0;100,00;
Edge Inserter;23;102;0;102;0;100,00;102;0;100,00;102;0;100,00;
Edge Omitter;1;12;3;12;3;100,00;15;0;100,00;15;0;100,00;
Edge Omitter;2;12;5;12;5;100,00;17;0;100,00;17;0;100,00;
