ProductID;L=3;V_3;E_3;L=4;V_4;E_4;
1;L=3;507;771;L=4;771;1186;
2;L=3;536;784;L=4;784;1144;
3;L=3;417;621;L=4;621;925;
4;L=3;555;831;L=4;831;1246;
5;L=3;413;617;L=4;617;921;
6;L=3;428;659;L=4;659;1018;
7;L=3;417;621;L=4;621;925;
8;L=3;519;786;L=4;786;1201;
9;L=3;500;739;L=4;739;1099;
10;L=3;552;803;L=4;803;1163;
11;L=3;520;763;L=4;763;1123;
12;L=3;515;781;L=4;781;1196;
13;L=3;504;743;L=4;743;1103;
14;L=3;512;753;L=4;753;1113;
15;L=3;555;831;L=4;831;1246;
16;L=3;516;759;L=4;759;1119;
17;L=3;417;621;L=4;621;925;
18;L=3;504;744;L=4;744;1104;
19;L=3;515;781;L=4;781;1196;
20;L=3;413;617;L=4;617;921;
21;L=3;540;789;L=4;789;1149;
22;L=3;428;659;L=4;659;1018;
23;L=3;417;621;L=4;621;925;
24;L=3;508;749;L=4;749;1109;
25;L=3;508;748;L=4;748;1108;
26;L=3;504;743;L=4;743;1103;
27;L=3;508;748;L=4;748;1108;
28;L=3;544;793;L=4;793;1153;
29;L=3;536;783;L=4;783;1143;
30;L=3;496;734;L=4;734;1094;
31;L=3;428;659;L=4;659;1018;
32;L=3;417;621;L=4;621;925;
33;L=3;413;617;L=4;617;921;
34;L=3;519;786;L=4;786;1201;
35;L=3;428;659;L=4;659;1018;
36;L=3;540;789;L=4;789;1149;
37;L=3;413;617;L=4;617;921;
38;L=3;508;749;L=4;749;1109;
39;L=3;413;617;L=4;617;921;
40;L=3;428;659;L=4;659;1018;
41;L=3;496;734;L=4;734;1094;
42;L=3;504;744;L=4;744;1104;
43;L=3;544;793;L=4;793;1153;
44;L=3;540;789;L=4;789;1149;
45;L=3;504;743;L=4;743;1103;
46;L=3;551;826;L=4;826;1241;
47;L=3;555;831;L=4;831;1246;
48;L=3;508;748;L=4;748;1108;
49;L=3;413;617;L=4;617;921;
50;L=3;500;739;L=4;739;1099;
51;L=3;417;621;L=4;621;925;
52;L=3;508;748;L=4;748;1108;
53;L=3;512;753;L=4;753;1113;
54;L=3;552;803;L=4;803;1163;
55;L=3;504;744;L=4;744;1104;
56;L=3;540;788;L=4;788;1148;
57;L=3;519;786;L=4;786;1201;
