SPL;Product;Level;Operator;TotalMutants;CoveredMutants;CoverageEquivalentMutants;CoveragePercent;TestFileFound;TestFilePath
BankAccountv2;P0001;L3;EdgeOmission;10;10;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0001_L3.txt
BankAccountv2;P0002;L3;EdgeOmission;13;13;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0002_L3.txt
BankAccountv2;P0003;L3;EdgeOmission;17;17;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0003_L3.txt
BankAccountv2;P0004;L3;EdgeOmission;20;20;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0004_L3.txt
BankAccountv2;P0005;L3;EdgeOmission;12;12;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0005_L3.txt
BankAccountv2;P0006;L3;EdgeOmission;13;13;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0006_L3.txt
BankAccountv2;P0007;L3;EdgeOmission;16;16;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0007_L3.txt
BankAccountv2;P0008;L3;EdgeOmission;17;17;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0008_L3.txt
BankAccountv2;P0009;L3;EdgeOmission;11;11;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0009_L3.txt
BankAccountv2;P0010;L3;EdgeOmission;14;14;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0010_L3.txt
BankAccountv2;P0011;L3;EdgeOmission;13;13;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0011_L3.txt
BankAccountv2;P0012;L3;EdgeOmission;14;14;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0012_L3.txt
BankAccountv2;P0013;L3;EdgeOmission;14;14;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0013_L3.txt
BankAccountv2;P0014;L3;EdgeOmission;10;10;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0014_L3.txt
BankAccountv2;P0015;L3;EdgeOmission;11;11;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0015_L3.txt
BankAccountv2;P0016;L3;EdgeOmission;14;14;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0016_L3.txt
BankAccountv2;P0017;L3;EdgeOmission;18;18;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0017_L3.txt
BankAccountv2;P0018;L3;EdgeOmission;21;21;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0018_L3.txt
BankAccountv2;P0019;L3;EdgeOmission;13;13;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0019_L3.txt
BankAccountv2;P0020;L3;EdgeOmission;14;14;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0020_L3.txt
BankAccountv2;P0021;L3;EdgeOmission;17;17;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0021_L3.txt
BankAccountv2;P0022;L3;EdgeOmission;18;18;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0022_L3.txt
BankAccountv2;P0023;L3;EdgeOmission;11;11;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0023_L3.txt
BankAccountv2;P0024;L3;EdgeOmission;12;12;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0024_L3.txt
BankAccountv2;P0025;L3;EdgeOmission;15;15;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0025_L3.txt
BankAccountv2;P0026;L3;EdgeOmission;15;15;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0026_L3.txt
BankAccountv2;P0027;L3;EdgeOmission;16;16;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0027_L3.txt
BankAccountv2;P0028;L3;EdgeOmission;12;12;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0028_L3.txt
BankAccountv2;P0029;L3;EdgeOmission;13;13;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0029_L3.txt
BankAccountv2;P0030;L3;EdgeOmission;16;16;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0030_L3.txt
BankAccountv2;P0031;L3;EdgeOmission;20;20;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0031_L3.txt
BankAccountv2;P0032;L3;EdgeOmission;23;23;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0032_L3.txt
BankAccountv2;P0033;L3;EdgeOmission;15;15;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0033_L3.txt
BankAccountv2;P0034;L3;EdgeOmission;16;16;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0034_L3.txt
BankAccountv2;P0035;L3;EdgeOmission;19;19;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0035_L3.txt
BankAccountv2;P0036;L3;EdgeOmission;20;20;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0036_L3.txt
BankAccountv2;P0037;L3;EdgeOmission;13;13;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0037_L3.txt
BankAccountv2;P0038;L3;EdgeOmission;14;14;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0038_L3.txt
BankAccountv2;P0039;L3;EdgeOmission;17;17;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0039_L3.txt
BankAccountv2;P0040;L3;EdgeOmission;17;17;0;100.0;True;/Users/dilekozturk/git/esg-with-feature-expressions/files/Cases/BankAccountv2/testsequences/L3/P0040_L3.txt
